"","REGION","ISLAND","STRATA","YEAR","TotFish","Acanthuridae","Albulidae","Aulostomidae","Balistidae","Belonidae","Carangidae","Carcharhinidae","Chanidae","Congridae","Dasyatidae","Diodontidae","Echeneidae","Ephippidae","Fistulariidae","Ginglymostomatidae","Haemulidae","Holocentridae","Kyphosidae","Labridae","Lethrinidae","Lutjanidae","Monacanthidae","Mullidae","Muraenidae","Myliobatidae","Ophichthidae","Oplegnathidae","Scaridae","Scombridae","Serranidae","Sphyraenidae","Sphyrnidae","Stegostomatidae","Tetraodontidae","UNKNOWN","n"
"1","NWHI","French Frigate","Forereef",2000,0.000300318857551274,0,0,0,0,0,5.92425463225152e-05,0.000187710120899399,0,0,0,0,0,0,0,0,0,0,0,0,4.16343077731474e-05,1.17318825562124e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2","NWHI","Kure","Forereef",2000,0.000107635694482979,0,0,0,0,0,6.74605103144166e-06,7.32869478054661e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67699097897304e-05,0,0,0,0,0,0,7.56925066254438e-06,0,5.92217882187162e-05,0,0,0,0,0,6
"3","NWHI","Lisianski","Forereef",2000,0.000114113127582459,0,0,0,0,0,9.23832691900441e-05,2.17298583924145e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"4","NWHI","Maro","Forereef",2000,0.00019812675571988,8.26519001574363e-05,0,0,0,0,6.47065713629914e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57150463155227e-06,0,0,4.41967795678997e-05,0,0,0,0,0,0,0,8
"5","NWHI","Pearl & Hermes","Forereef",2000,0.000562977693602883,0,0,0,0,0,0.000477086101639766,4.57247108086044e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04299735151078e-05,0,0,0,0,0,9.73690763940472e-06,0,0,0,0,0,0,0,0,17
"6","PRIAs","Baker","Forereef",2001,0.0020138806794659,3.77717734100107e-05,0,0,0,0,0.000444837284194897,0.000231338490950963,0,0,0,0,0,0,0,0,0,0,0.000132201206935037,0,0,0.000843010188496975,0,0,0,1.94089812039941e-05,0,0,0.000114361509228009,0,0.000190951245046008,0,0,0,0,0,2
"7","PRIAs","Howland","Forereef",2001,0.0032503991306771,0.00106082537468033,0,0,0,0,0.000896308876863501,0.000358728204917805,0,0,0,0,0,0,0,0,0,0,0,0,4.30064537556557e-05,0.00038296209259774,0,2.0820561677301e-05,0,0,0,0,0.000274763293008074,0,0.00019148104629887,0,2.15032268778278e-05,0,0,0,2
"8","PRIAs","Jarvis","Forereef",2001,0.00476017347970805,4.47708203368423e-05,0,0,0,0,0.00165929519745458,0.000391911002589751,0,0,0,0,0,0,0,0,0,0,9.90507737393352e-05,2.23854101684212e-05,1.8093317800831e-05,0.000691505519514406,3.6186635601662e-05,0,0,5.85720457700831e-05,0,0,0.000242872367815513,2.23854101684212e-05,0.000130020368642937,0.00134312461010527,0,0,0,0,2
"9","PRIAs","Kingman","Forereef",2001,0.000912605317480792,0,0,0,0,0,9.60637176295571e-05,0.000240159294073893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000384254870518228,0,0,0,0,0,0,0.000192127435259114,0,0,0,0,0,0,0,1
"10","PRIAs","Palmyra","Forereef",2001,0.00210778566413275,0.000285144646926618,0,0,5.6457748604268e-05,0,2.85144646926618e-05,0.000199030072067577,0,0,0,0,0,0,0,0,0,0,0,0.000171086788155971,0,0.000939834973295729,0,0,0,0,0,0,0.000342173576311942,0,8.55433940779855e-05,0,0,0,0,0,2
"11","PRIAs","Baker","Forereef",2002,0.00359836508463366,0.000283565232195941,0,2.59581155126723e-05,5.19162310253446e-05,0,0.000661264395993745,0.00051201953694325,0,0,0,5.19162310253446e-05,0,0,0,0,0,0,0,0,0,0.000854643773474732,1.49244859050495e-05,0,0,2.59581155126723e-05,0,0,0,0,5.19162310253446e-05,0.00103832462050689,2.59581155126723e-05,0,0,0,2
"12","NWHI","French Frigate","Forereef",2002,0.000721889216327681,5.61324144129826e-05,0,0,0,0,0.000309252027729729,5.93770959541696e-05,0,0,0,0,0,0,1.07231309935567e-05,0,0,0,0,0,5.57462806332122e-06,0.000206817556392995,0,0,2.28583138761855e-05,0,0,0,4.0430917911185e-05,0,0,1.07231309935567e-05,0,0,0,0,7
"13","PRIAs","Howland","Forereef",2002,0.0310272526753299,0,0,0,5.06154203512723e-05,0,0,0.000202461681405089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000253077101756361,5.06154203512723e-05,0,0,0,0,0,0,0,0.000101230840702545,0.0303692522107634,0,0,0,0,1
"14","PRIAs","Jarvis","Forereef",2002,0.00736621760503731,0.00201528594854794,0,0,0.000243224166204062,0,0.00298818261336419,0.000451702022950401,0.000243224166204062,0,3.47463094577232e-05,0,0,0,6.94926189154464e-05,0,0,0,6.94926189154464e-05,0,0,0.000868657736443079,0,0,0,6.94926189154464e-05,0,0,0.000277970475661785,0,0,3.47463094577232e-05,0,0,0,0,1
"15","PRIAs","Kingman","Forereef",2002,0.00303428241173696,0,0,0,0,0,0.000133484378336672,0.00118811981256281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155630303154549,0,0,0,0,0,0,0.00011252381107897,2.28908109553169e-05,2.09605672577024e-05,0,0,0,0,0,2
"16","NWHI","Kure","Forereef",2002,0.00129017595794762,0.000180583959562258,0,2.50093423038605e-05,0,0,0.000430943440647329,5.4569842500609e-05,0,0,0,0,0,0,0,0,0,0,9.4345707559149e-06,0,0,7.24233832467719e-05,2.04581844109726e-05,0,0,5.4569842500609e-05,1.12023493195254e-05,4.87618966787173e-05,0.000302307706246447,0,7.99114397746086e-05,0,0,0,0,0,5
"17","NWHI","Laysan","Forereef",2002,0.000162227854204508,4.78443965029707e-05,0,0,0,0,1.83047917978591e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41824015683642e-05,3.18962643353138e-05,0,0,0,0,0,0,0,3
"18","NWHI","Lisianski","Forereef",2002,0.000382803119972031,3.61782338143269e-05,0,0,0,0,0.000221374542613853,4.35636652708369e-05,0,0,0,0,0,0,0,0,0,0,8.67287809123731e-06,0,0,7.30138001817762e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"19","NWHI","Maro","Forereef",2002,0.000103072906074819,0,0,0,0,0,3.76681138852687e-05,4.02899787994964e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51148133900542e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"20","NWHI","Midway","Forereef",2002,0.00128315772218995,0.000238260224309599,0,3.23867073611113e-06,0,0,0.000283263670845388,0.00012020529174724,0,0,0,0,0,0,0,0,0,0,0,0,4.80390897382132e-06,7.8179941696295e-05,4.80390897382132e-06,0,0,4.48586347880127e-05,0,4.6233267430665e-05,0.000437439264933614,0,1.40752009734964e-05,7.79573678188519e-06,0,0,0,0,10
"21","SAMOA","Ofu & Olosega","Forereef",2002,0.000745544791308766,9.46993532749037e-06,0,0,2.12499765833751e-05,0,2.44632878505845e-05,3.55660905157909e-05,0,0,4.58586502289513e-06,1.07365081290479e-05,0,0,0,0,0,0,0,2.51858110895668e-05,2.40444854488757e-05,0.000208245801681664,0,0,0,4.48122051111727e-06,0,0,0.000339045546150562,4.48122051111727e-06,1.14955866253496e-05,2.24934558613297e-05,0,0,0,0,8
