"","DIVEID","REGION.x","ISLAND.x","YEAR","STRATA","Acanthuridae","Albulidae","Aulostomidae","Balistidae","Belonidae","Carangidae","Carcharhinidae","Chanidae","Congridae","Dasyatidae","Diodontidae","Echeneidae","Ephippidae","Fistulariidae","Ginglymostomatidae","Haemulidae","Holocentridae","Kyphosidae","Labridae","Lethrinidae","Lutjanidae","Monacanthidae","Mullidae","Muraenidae","Myliobatidae","Ophichthidae","Oplegnathidae","Scaridae","Scombridae","Serranidae","Sphyraenidae","Sphyrnidae","Stegostomatidae","Tetraodontidae","UNKNOWN","TotFish","REGION.y","ISLAND.y","DATE_","OBS_YEAR","CENTROIDLAT","CENTROIDLON","DEPTH","REEF_ZONE","PROJECTEDLENGTH"
"1",200009121,"NWHI","French Frigate",2000,"Forereef",0,0,0,0,0,0.000106774039518917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106774039518917,"NWHI","French Frigate",2000-09-12,2000,23.825284262,-166.10403223,10.253489018,"Forereef",1873.11448458
"2",200009124,"NWHI","French Frigate",2000,"Forereef",0,0,0,0,0,8.32686155462948e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016653723109259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000249805846638884,"NWHI","French Frigate",2000-09-12,2000,23.85777121,-166.328458626,10.287522268,"Forereef",2401.8653209
"3",200009152,"NWHI","French Frigate",2000,"Forereef",0,0,0,0,0,4.69275302248496e-05,0.000750840483597594,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69275302248496e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000844695544047294,"NWHI","French Frigate",2000-09-15,2000,23.63638466,-166.190971286,12.9299222,"Forereef",2130.94530057
"4",200009153,"NWHI","French Frigate",2000,"Forereef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NWHI","French Frigate",2000-09-15,2000,23.644023484,-166.220609215,10.531233313,"Forereef",1949.20625204
"5",200009171,"NWHI","Maro",2000,"Forereef",0,0,0,0,0,3.75178808184636e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75178808184636e-05,"NWHI","Maro",2000-09-17,2000,25.352428526,-170.497876394,12.686855603,"Forereef",2665.3957478
"6",200009175,"NWHI","Maro",2000,"Forereef",0,0,0,0,0,3.99084494744699e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99084494744699e-05,"NWHI","Maro",2000-09-17,2000,25.3768129333333,-170.559022805,13.756025155,"Forereef",2505.73503398
"7",200009191,"NWHI","Maro",2000,"Forereef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NWHI","Maro",2000-09-19,2000,25.415873436,-170.611073835,11.846877824,"Forereef",2004.94669272
"8",200009193,"NWHI","Maro",2000,"Forereef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25720370524182e-05,0,0,0,0,0,0,0,0,0,0,5.25720370524182e-05,"NWHI","Maro",2000-09-19,2000,25.432947815,-170.630488285,11.52616663,"Forereef",1902.15189684
"9",200009194,"NWHI","Maro",2000,"Forereef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NWHI","Maro",2000-09-19,2000,25.431908427,-170.642708753,12.794755649,"Forereef",2419.9180663
"10",200009201,"NWHI","Maro",2000,"Forereef",0.000661215201259491,0,0,0,0,0.000396729120755694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000308567093921096,0,0,0,0,0,0,0,0.00136651141593628,"NWHI","Maro",2000-09-20,2000,25.469199208,-170.575390939,15.355366515,"Forereef",2268.55038593
"11",200009202,"NWHI","Maro",2000,"Forereef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50071426221023e-05,0,0,0,0,0,0,0,4.50071426221023e-05,"NWHI","Maro",2000-09-20,2000,25.491544151,-170.621424999,12.130982733,"Forereef",2221.86955612
"12",200009204,"NWHI","Maro",2000,"Forereef",0,0,0,0,0,4.34971198553031e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34971198553031e-05,"NWHI","Maro",2000-09-20,2000,25.451341726,-170.659281797,11.951855661,"Forereef",2299.0027922
"13",200009221,"NWHI","Lisianski",2000,"Forereef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NWHI","Lisianski",2000-09-22,2000,25.984872199,-173.894623669,11.013799953,"Forereef",2287.64565101
"14",200009224,"NWHI","Lisianski",2000,"Forereef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NWHI","Lisianski",2000-09-22,2000,25.937689262,-173.926078862,10.19604459,"Forereef",2144.38107034
"15",200009231,"NWHI","Lisianski",2000,"Forereef",0,0,0,0,0,0.000122624704135262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000122624704135262,"NWHI","Lisianski",2000-09-23,2000,26.014815661,-173.882455453,12.840388823,"Forereef",2446.48908322
"16",200009233,"NWHI","Lisianski",2000,"Forereef",0,0,0,0,0,0,8.59915825898351e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59915825898351e-05,"NWHI","Lisianski",2000-09-23,2000,26.054881337,-173.912442017,11.968711186,"Forereef",2325.80903824
"17",200009234,"NWHI","Lisianski",2000,"Forereef",0,0,0,0,0,9.10273283353614e-05,4.55136641676807e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136540992503042,"NWHI","Lisianski",2000-09-23,2000,26.070020609,-173.939874723,11.603836441,"Forereef",2197.14237095
"18",200009251,"NWHI","Pearl & Hermes",2000,"Forereef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0724144480156e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0724144480156e-05,"NWHI","Pearl & Hermes",2000-09-25,2000,27.964752596,-175.769215596,16.167636394,"Forereef",2455.54575244
"19",200009252,"NWHI","Pearl & Hermes",2000,"Forereef",0,0,0,0,0,0.000212513964893782,8.50055859575128e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25027929787564e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000340022343830051,"NWHI","Pearl & Hermes",2000-09-25,2000,27.945965757,-175.735804715,11.581221962,"Forereef",2352.78655805
"20",200009253,"NWHI","Pearl & Hermes",2000,"Forereef",0,0,0,0,0,4.49019116518857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49019116518857e-05,0,0,0,0,0,0,0,0,8.98038233037714e-05,"NWHI","Pearl & Hermes",2000-09-25,2000,27.91553276,-175.723558951,10.943844416,"Forereef",2227.07667271
"21",200009254,"NWHI","Pearl & Hermes",2000,"Forereef",0,0,0,0,0,0.000224714867544726,0.000112357433772363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000337072301317089,"NWHI","Pearl & Hermes",2000-09-25,2000,27.893367602,-175.725433597,11.9583889,"Forereef",1780.03353481
"22",200009256,"NWHI","Pearl & Hermes",2000,"Forereef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NWHI","Pearl & Hermes",2000-09-25,2000,27.832906264,-175.749422045,10.962200069,"Forereef",2364.72286999
"23",200009261,"NWHI","Pearl & Hermes",2000,"Forereef",0,0,0,0,0,0.00127009367609781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127009367609781,"NWHI","Pearl & Hermes",2000-09-26,2000,27.809377873,-175.760657664,11.278333378,"Forereef",2362.03049937
"24",200009262,"NWHI","Pearl & Hermes",2000,"Forereef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02085060726649e-05,0,0,0,0,0,0.000120625518217995,0,0,0,0,0,0,0,0,0.000160834024290659,"NWHI","Pearl & Hermes",2000-09-26,2000,27.787960228,-175.778922992,10.37057786,"Forereef",2487.03594755
"25",200009265,"NWHI","Pearl & Hermes",2000,"Forereef",0,0,0,0,0,0.00452411843225876,0.000180964737290351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00470508316954911,"NWHI","Pearl & Hermes",2000-09-26,2000,27.788241174,-175.871717511,11.697227859,"Forereef",2210.37538025
"26",200009266,"NWHI","Pearl & Hermes",2000,"Forereef",0,0,0,0,0,9.60182561688916e-05,4.80091280844458e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.60182561688916e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000240045640422229,"NWHI","Pearl & Hermes",2000-09-26,2000,27.77323023,-175.895185765,10.09436655,"Forereef",2082.93722444
"27",200009271,"NWHI","Pearl & Hermes",2000,"Forereef",0,0,0,0,0,0,4.35434960234803e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35434960234803e-05,"NWHI","Pearl & Hermes",2000-09-27,2000,27.898442186,-175.931948717,14.564622116,"Forereef",2296.55423042
"28",200009273,"NWHI","Pearl & Hermes",2000,"Forereef",0,0,0,0,0,0.000225982208980119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51964417960239e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000271178650776143,"NWHI","Pearl & Hermes",2000-09-27,2000,27.773547672,-175.983150894,10.256530855,"Forereef",2212.56355647
"29",200009274,"NWHI","Pearl & Hermes",2000,"Forereef",0,0,0,0,0,0.000387873780607878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54105400868396e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000443284320694717,"NWHI","Pearl & Hermes",2000-09-27,2000,27.754648284,-175.956902711,12.25591116,"Forereef",1804.71079768
