"","DIVEID","REGION.x","ISLAND.x","YEAR","STRATA","Acanthuridae","Albulidae","Aulostomidae","Balistidae","Belonidae","Carangidae","Carcharhinidae","Chanidae","Congridae","Dasyatidae","Diodontidae","Echeneidae","Ephippidae","Fistulariidae","Ginglymostomatidae","Haemulidae","Holocentridae","Kyphosidae","Labridae","Lethrinidae","Lutjanidae","Monacanthidae","Mullidae","Muraenidae","Myliobatidae","Ophichthidae","Oplegnathidae","Scaridae","Scombridae","Serranidae","Sphyraenidae","Sphyrnidae","Stegostomatidae","Tetraodontidae","UNKNOWN","TotFish","REGION.y","ISLAND.y","DATE_","OBS_YEAR","CENTROIDLAT","CENTROIDLON","DEPTH","REEF_ZONE","PROJECTEDLENGTH"
"1",200009121,"NWHI","French Frigate",2000,"Forereef",0,0,0,0,0,0.394606627426906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394606627426906,"NWHI","French Frigate",2000-09-12,2000,23.825284262,-166.10403223,10.253489018,"Forereef",1873.11448458
"2",200009124,"NWHI","French Frigate",2000,"Forereef",0,0,0,0,0,0.307737233687873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667645909118032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975383142805905,"NWHI","French Frigate",2000-09-12,2000,23.85777121,-166.328458626,10.287522268,"Forereef",2401.8653209
"3",200009152,"NWHI","French Frigate",2000,"Forereef",0,0,0,0,0,0.17343086876676,1.00806573858363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124137463920104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30563407127049,"NWHI","French Frigate",2000-09-15,2000,23.63638466,-166.190971286,12.9299222,"Forereef",2130.94530057
"4",200009153,"NWHI","French Frigate",2000,"Forereef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NWHI","French Frigate",2000-09-15,2000,23.644023484,-166.220609215,10.531233313,"Forereef",1949.20625204
"5",200009171,"NWHI","Maro",2000,"Forereef",0,0,0,0,0,0.123981786708822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123981786708822,"NWHI","Maro",2000-09-17,2000,25.352428526,-170.497876394,12.686855603,"Forereef",2665.3957478
"6",200009175,"NWHI","Maro",2000,"Forereef",0,0,0,0,0,0.147490333080146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147490333080146,"NWHI","Maro",2000-09-17,2000,25.3768129333333,-170.559022805,13.756025155,"Forereef",2505.73503398
"7",200009191,"NWHI","Maro",2000,"Forereef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NWHI","Maro",2000-09-19,2000,25.415873436,-170.611073835,11.846877824,"Forereef",2004.94669272
"8",200009193,"NWHI","Maro",2000,"Forereef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8207850966233,0,0,0,0,0,0,0,0,0,0,9.8207850966233,"NWHI","Maro",2000-09-19,2000,25.432947815,-170.630488285,11.52616663,"Forereef",1902.15189684
"9",200009194,"NWHI","Maro",2000,"Forereef",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NWHI","Maro",2000-09-19,2000,25.431908427,-170.642708753,12.794755649,"Forereef",2419.9180663
"10",200009201,"NWHI","Maro",2000,"Forereef",3.09137007690655,0,0,0,0,1.46619853523207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37587140610432,0,0,0,0,0,0,0,5.93344001824293,"NWHI","Maro",2000-09-20,2000,25.469199208,-170.575390939,15.355366515,"Forereef",2268.55038593
