"","REGION","ISLAND","STRATA","YEAR","TotFish","ACDU","ACMT","ACSO","ACSP","ACXA","AENA","ALCI","ALGL","ALSC","APFU","APVI","ARHI","ARMA","ARST","AUCH","BAPO","BARR","BAVI","BOBI","BOMU","CAAB","CACA","CAFE","CAGA","CAIG","CALU","CAME","CAML","CAOR","CAPP","CASE","CASP","CEAR","CEOC","CESO","CESX","CHCH","CHFN","CHIN","CHMC","CHPE","CHUB","CHUD","COAY","COFL","DAKU","DALA","DASY","DIHY","ECNA","ELBI","EMPE","ENPA","EPLA","EPPO","EPQU","EPSP","EPTA","EUAF","FICO","GACU","GNSP","GOHA","GRAL","GRBI","GROU","GYFL","GYJA","GYME","GYSP","GYUC","GYUN","GYZE","HAMM","HEME","HIFA","HILO","JACK","KYCI","KYPA","LEOL","LETH","LEXA","LUBO","LUGI","LUMO","LURI","MABI","MACO","MAMA","MANI","MOGR","MORA","MYMA","NAAN","NABH","NABR","NACA","NAHE","NALI","NALO","NASP","NATO","NAUN","NAVL","NEAC","NEFE","NONE","OPFA","OPPU","PABA","PACY","PAPO","PARR","PASE","PLAB","PLAL","PLGI","PLLP","PLLV","PLOR","PLPI","PLTE","PLVI","PSDE","PSFL","PSFU","SASP","SCAL","SCFE","SCFO","SCFR","SCGH","SCLY","SCRU","SCSP","SCXA","SEDU","SHAR","SNAP","SPBA","SPHE","SPLE","SPMO","SPQE","STFC","SURG","TAME","THAL","TRBL","TRIG","TROB","TUNA","TYCR","URAS","VALO","WRAS","n"
"1","NWHI","French Frigate","Forereef",2000,0.000300318857551274,0,0,0,0,0,0,0,0,0,0,1.17318825562124e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92425463225152e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16343077731474e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000187710120899399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2","NWHI","Kure","Forereef",2000,0.000107635694482979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.92217882187162e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56925066254438e-06,0,6.74605103144166e-06,7.32869478054661e-06,2.67699097897304e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"3","NWHI","Lisianski","Forereef",2000,0.000114113127582459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72600548715964e-05,0,0,0,0,0,0,5.12321431844771e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29957912949176e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.74302792629228e-05,0,0,0,0,0,10
"4","NWHI","Maro","Forereef",2000,0.00019812675571988,0,0,0,1.65303800314873e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00168362606834e-05,0,0,0,0,0,0,4.68973510230795e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57150463155227e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61215201259491e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41967795678997e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"5","NWHI","Pearl & Hermes","Forereef",2000,0.000562977693602883,0,0,0,0,0,0,0,0,0,0,5.05415213389294e-06,0,0,0,0,0,0,0,0,0,2.19831904462177e-06,0,0,2.6612461366228e-06,0.000304946527047589,0,3.9918692049342e-05,0,0,0,0,1.24648063948086e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98373840986841e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73690763940472e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9918692049342e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19831904462177e-06,2.53758213812149e-05,0,0,0,0,0,0,0,0,0,0,0,3.8666826582738e-05,0,0,0,0,0,17
"6","PRIAs","Baker","Forereef",2001,0.0020138806794659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154748755132964,0,5.77038491129935e-05,0,0,0.000271202642356928,0,0,0,0,0,0,9.65218115209816e-05,0,0,0,0,0,0,0.000114361509228009,0,0.000132201206935037,0,0,0,0,0,0,0,0,0.000115930792724976,0,0,0,0,0,1.88858867050053e-05,0,0,0,0,0,0,0,0,5.6657660115016e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082412430179197,0,0,0,1.94089812039941e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77717734100107e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88858867050053e-05,0,0,0,0,0,0,0,0,0,0,0,7.65897358179988e-05,0,0,0,1.88858867050053e-05,0,2
"7","PRIAs","Howland","Forereef",2001,0.0032503991306771,0,0,0,0,0,0,0,0,0,0,2.15032268778278e-05,0,0,0,0,0,0,0,0,0,0.000358728204917805,0,0,0,8.3282246709204e-05,0.000189433050697289,0,0,0,0,0,0,4.30064537556557e-05,0,0,0,0,0,0,8.3282246709204e-05,0,0,0,0,0,0,0,0,0,0,0.000279541949411762,4.30064537556557e-05,0,0,0,0,2.15032268778278e-05,0,0,0,0,0,0,0,0,6.38270154329567e-05,0,0,0,0,0,0,0,2.15032268778278e-05,0,0,0,0.000344051630045245,0,0,0,0,0,0.000361458865719912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53302423107845e-05,0,0,0,0,0,0,0,0,0,2.0820561677301e-05,0,0,0,0,0,0,0,4.1641123354602e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1641123354602e-05,0.000149839922944268,0,0,0,0,0,0,0,0,0,0,0.000975495132369544,0,0,0,0,0,0,0,0,2.15032268778278e-05,0,2
"8","PRIAs","Jarvis","Forereef",2001,0.00476017347970805,0,0,0,0,0,0,0,0,3.6186635601662e-05,0,0,0,0,0,0,0,0.00134312461010527,0,0,0,0.000252381500881163,0,0,3.6186635601662e-05,0,0.000472868458528255,0,5.85720457700831e-05,0,0,0.00111927050842106,0,4.04787279692521e-05,0,0,0,0,0,0,0.00018000822967784,0,9.90507737393352e-05,2.23854101684212e-05,0,0,0,0,0,0,0,6.71562305052635e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23854101684212e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000691505519514406,0,0,0,5.85720457700831e-05,0,0,0,1.8093317800831e-05,0,0,0,0,0,0,0,0,0,4.47708203368423e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8093317800831e-05,4.47708203368423e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47708203368423e-05,0,0,0,8.95416406736846e-05,0,2
"9","PRIAs","Kingman","Forereef",2001,0.000912605317480792,0,0,0,0,0,0,0,0,0,0,4.80318588147786e-05,0,0,0,0,0,0,0,0,0,0.000240159294073893,0,4.80318588147786e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192127435259114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80318588147786e-05,0,0,0,0,0,0.00033622301170345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"10","PRIAs","Palmyra","Forereef",2001,0.00210778566413275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000170515607374915,0,2.85144646926618e-05,0,0,0,0,0,0,0,0,0,2.85144646926618e-05,0,0,5.70289293853237e-05,0,0,0,0.000342173576311942,0,0,0.000171086788155971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000939834973295729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000199601252848633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55433940779855e-05,0,0,0,5.6457748604268e-05,2.85144646926618e-05,0,0,0,0,0,2
