"","REGION","ISLAND","STRATA","YEAR","TotFish","ACDU","ACMT","ACSO","ACSP","ACXA","AENA","ALCI","ALGL","ALSC","APFU","APVI","ARHI","ARMA","ARST","AUCH","BAPO","BARR","BAVI","BOBI","BOMU","CAAB","CACA","CAFE","CAGA","CAIG","CALU","CAME","CAML","CAOR","CAPP","CASE","CASP","CEAR","CEOC","CESO","CESX","CHCH","CHFN","CHIN","CHMC","CHPE","CHUB","CHUD","COAY","COFL","DAKU","DALA","DASY","DIHY","ECNA","ELBI","EMPE","ENPA","EPLA","EPPO","EPQU","EPSP","EPTA","EUAF","FICO","GACU","GNSP","GOHA","GRAL","GRBI","GROU","GYFL","GYJA","GYME","GYSP","GYUC","GYUN","GYZE","HAMM","HEME","HIFA","HILO","JACK","KYCI","KYPA","LEOL","LETH","LEXA","LUBO","LUGI","LUMO","LURI","MABI","MACO","MAMA","MANI","MOGR","MORA","MYMA","NAAN","NABH","NABR","NACA","NAHE","NALI","NALO","NASP","NATO","NAUN","NAVL","NEAC","NEFE","NONE","OPFA","OPPU","PABA","PACY","PAPO","PARR","PASE","PLAB","PLAL","PLGI","PLLP","PLLV","PLOR","PLPI","PLTE","PLVI","PSDE","PSFL","PSFU","SASP","SCAL","SCFE","SCFO","SCFR","SCGH","SCLY","SCRU","SCSP","SCXA","SEDU","SHAR","SNAP","SPBA","SPHE","SPLE","SPMO","SPQE","STFC","SURG","TAME","THAL","TRBL","TRIG","TROB","TUNA","TYCR","URAS","VALO","WRAS","n"
"1","NWHI","French Frigate","Forereef",2000,0.668905960375825,0,0,0,0,0,0,0,0,0,0,0.031034365980026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218943682470385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166911477279508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252016434645907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2","NWHI","Kure","Forereef",2000,0.411150594979534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225503642469288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337505708074433,0,0.0290738878749866,0.00983938170383087,0.112983112123985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"3","NWHI","Lisianski","Forereef",2000,0.360657470047171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322488463648198,0,0,0,0,0,0,0.0169302010411199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00577254224492876,0,0,0,0,0,0,0,0,0,0,0,0,0.0154662631129243,0,0,0,0,0,10
"4","NWHI","Maro","Forereef",2000,2.04839160724788,0,0,0,0.0525666004596023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221805238917324,0,0,0,0,0,0,0.0154977233386027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22759813707791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333854659153716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197069248300722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"5","NWHI","Pearl & Hermes","Forereef",2000,1.77917266752867,0,0,0,0,0,0,0,0,0,0,0.0133697559867665,0,0,0,0,0,0,0,0,0,0.00342708020195048,0,0,0.00414876265101293,1.12699604815905,0,0.18162564220897,0,0,0,0,0.0411912649140722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901918695015695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494240962535577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124437486486299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00295142598164268,0.107099325133023,0,0,0,0,0,0,0,0,0,0,0,0.0343099100507564,0,0,0,0,0,17
"6","PRIAs","Baker","Forereef",2001,12.5634314902576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430707854942063,0,0.19827467088011,0,0,1.46846515168634,0,0,0,0,0,0,0.364457703580502,0,0,0,0,0,0,0.472242831630027,0,0.391238038913939,0,0,0,0,0,0,0,0,0.145129039769979,0,0,0,0,0,0.071896858355496,0,0,0,0,0,0,0,0,0.215740002354153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72672090787704,0,0,0,2.54645833396402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190713742113162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797083842236581,0,0,0,0,0,0,0,0,0,0,0,0.207776639892434,0,0,0,0.0539013300746825,0,2
"7","PRIAs","Howland","Forereef",2001,15.9847989926187,0,0,0,0,0,0,0,0,0,0,0.0291932411290634,0,0,0,0,0,0,0,0,0,2.29716281146956,0,0,0,0.701257197988251,0.68647338392648,0,0,0,0,0,0,0.162388512274453,0,0,0,0,0,0,0.500836010767651,0,0,0,0,0,0,0,0,0,0,0.315797058059866,0.300490847727262,0,0,0,0,0.0404276148069758,0,0,0,0,0,0,0,0,0.243039342461571,0,0,0,0,0,0,0,0.71334007985551,0,0,0,1.11784066490978,0,0,0,0,0,2.77522472837572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373502496636709,0,0,0,0,0,0,0,0,0,0.0322718705998165,0,0,0,0,0,0,0,0.1493059459391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16543574830041,0.668122005013957,0,0,0,0,0,0,0,0,0,0,4.65131807355629,0,0,0,0,0,0,0,0,0.0613713588203088,0,2
"8","PRIAs","Jarvis","Forereef",2001,21.6786186151299,0,0,0,0,0,0,0,0,0.00995132479045704,0,0,0,0,0,0,0,1.53504661778185,0,0,0,1.67707588699683,0,0,0.568962382355809,0,1.57462606507272,0,0.369913661394969,0,0,3.94574240394425,0,0.152844046408376,0,0,0,0,0,0,0.74332348946433,0,0.293132198783393,0.111306234942057,0,0,0,0,0,0,0,0.0758660375252435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4396063081128,0,0,0,0,0,0,0,0,0,0,0,0,3.80314214118387,0,0,0,5.46471926039529,0,0,0,0.0398302627322171,0,0,0,0,0,0,0,0,0,0.166361246543997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966511193398383,0.199628841645203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121456622293648,0,0,0,0.289432463422802,0,2
"9","PRIAs","Kingman","Forereef",2001,4.58771166539662,0,0,0,0,0,0,0,0,0,0,0.127058745944353,0,0,0,0,0,0,0,0,0,1.58273133296,0,0.155304313453486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79336836906973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745378663528403,0,0,0,0,0,1.85471103761622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"10","PRIAs","Palmyra","Forereef",2001,17.1758371303729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265826138197642,0,0.0477031286529843,0,0,0,0,0,0,0,0,0,0.107668061311259,0,0,0.131621813649999,0,0,0,1.4129668249162,0,0,7.07416314081782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36523135993088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00780817061529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407884695417989,0,0,0,0.32966229670847,0.0253015001543325,0,0,0,0,0,2
