"","REGION","ISLAND","STRATA","YEAR","TotFish","Acanthuridae","Albulidae","Aulostomidae","Balistidae","Belonidae","Carangidae","Carcharhinidae","Chanidae","Congridae","Dasyatidae","Diodontidae","Echeneidae","Ephippidae","Fistulariidae","Ginglymostomatidae","Haemulidae","Holocentridae","Kyphosidae","Labridae","Lethrinidae","Lutjanidae","Monacanthidae","Mullidae","Muraenidae","Myliobatidae","Ophichthidae","Oplegnathidae","Scaridae","Scombridae","Serranidae","Sphyraenidae","Sphyrnidae","Stegostomatidae","Tetraodontidae","UNKNOWN","n"
"1","NWHI","French Frigate","Forereef",2000,0.000188535707020337,0,0,0,0,0,2.32698548987141e-05,0.000187710120899399,0,0,0,0,0,0,0,0,0,0,0,0,4.16343077731474e-05,1.17318825562124e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2","NWHI","Kure","Forereef",2000,3.82219886044561e-05,0,0,0,0,0,6.74605103144166e-06,7.32869478054662e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79940167461599e-05,0,0,0,0,0,0,7.56925066254438e-06,0,3.9548296612804e-05,0,0,0,0,0,6
"3","NWHI","Lisianski","Forereef",2000,4.62489276562219e-05,0,0,0,0,0,4.32181257144356e-05,1.1597257888022e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"4","NWHI","Maro","Forereef",2000,0.0001670650801522,8.26519001574363e-05,0,0,0,0,4.79565926108903e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57150463155227e-06,0,0,3.81754529733927e-05,0,0,0,0,0,0,0,8
"5","NWHI","Pearl & Hermes","Forereef",2000,0.000272414275950093,0,0,0,0,0,0.000267262672700261,1.44656923836793e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22144154192025e-06,0,0,0,0,0,7.41495210877657e-06,0,0,0,0,0,0,0,0,17
"6","PRIAs","Baker","Forereef",2001,0.000276379102605404,3.77717734100107e-05,0,0,0,0,0.000331521963964865,0.00011802317072093,0,0,0,0,0,0,0,0,0,0,0.000132201206935037,0,0,4.98029468867511e-05,0,0,0,1.94089812039941e-05,0,0,3.67255844120332e-05,0,3.56793954140558e-05,0,0,0,0,0,2
"7","PRIAs","Howland","Forereef",2001,0.000835213976110187,0.000186361784233686,0,0,0,0,0.000479897643317481,5.76830286282151e-05,0,0,0,0,0,0,0,0,0,0,0,0,4.30064537556557e-05,0.000133115352470128,0,2.0820561677301e-05,0,0,0,0,1.672457047414e-05,0,6.6557676235064e-05,0,2.15032268778278e-05,0,0,0,2
"8","PRIAs","Jarvis","Forereef",2001,0.0028060951572183,4.47708203368423e-05,0,0,0,0,0.00111649566342965,7.85152602318546e-05,0,0,0,0,0,0,0,0,0,0,9.50913306565063e-06,2.23854101684212e-05,1.8093317800831e-05,0.000293452527896124,3.61866356016619e-05,0,0,1.38012254332408e-05,0,0,2.5752554205541e-05,2.23854101684212e-05,9.38337330412748e-05,0.00134312461010527,0,0,0,0,2
"9","PRIAs","Kingman","Forereef",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"10","PRIAs","Palmyra","Forereef",2001,0.0018842393928399,0.000285144646926618,0,0,5.71180781055675e-07,0,2.85144646926618e-05,0.000143143504244365,0,0,0,0,0,0,0,0,0,0,0,0.000171086788155971,0,0.000828061837649305,0,0,0,0,0,0,0.000342173576311942,0,8.55433940779855e-05,0,0,0,0,0,2
