"","REGION","ISLAND","STRATA","YEAR","TotFish","Acanthuridae","Albulidae","Aulostomidae","Balistidae","Belonidae","Carangidae","Carcharhinidae","Chanidae","Congridae","Dasyatidae","Diodontidae","Echeneidae","Ephippidae","Fistulariidae","Ginglymostomatidae","Haemulidae","Holocentridae","Kyphosidae","Labridae","Lethrinidae","Lutjanidae","Monacanthidae","Mullidae","Muraenidae","Myliobatidae","Ophichthidae","Oplegnathidae","Scaridae","Scombridae","Serranidae","Sphyraenidae","Sphyrnidae","Stegostomatidae","Tetraodontidae","UNKNOWN","n"
"1","NWHI","French Frigate","Forereef",2000,0.291837034780871,0,0,0,0,0,0.0859987971202329,0.252016434645907,0,0,0,0,0,0,0,0,0,0,0,0,0.166911477279508,0.031034365980026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2","NWHI","Kure","Forereef",2000,0.153749997009085,0,0,0,0,0,0.0290738878749866,0.00983938170383087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0759442234793096,0,0,0,0,0,0,0.0337505708074434,0,0.150591280808785,0,0,0,0,0,6
"3","NWHI","Lisianski","Forereef",2000,0.161327184716817,0,0,0,0,0,0.159946361355742,0.0115986672564375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"4","NWHI","Maro","Forereef",2000,1.32415407546305,0.386421259613318,0,0,0,0,0.177391969146164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22759813707791,0,0,0.170220724101586,0,0,0,0,0,0,0,8
"5","NWHI","Pearl & Hermes","Forereef",2000,0.800772142798498,0,0,0,0,0,0.806910373314674,0.0147846744381695,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038618636127767,0,0,0,0,0,0.0376379565578481,0,0,0,0,0,0,0,0,17
"6","PRIAs","Baker","Forereef",2001,4.10043410770197,0.190713742113162,0,0,0,0,1.48186472756455,0.374661520680844,0,0,0,0,0,0,0,0,0,0,0.391238038913939,0,0,0.55075874190078,0,0,0,2.54645833396402,0,0,0.151654119406798,0,0.119703315974331,0,0,0,0,0,2
"7","PRIAs","Howland","Forereef",2001,2.57272002582458,0.843538262578942,0,0,0,0,0.513451517260414,0.79889254158985,0,0,0,0,0,0,0,0,0,0,0,0,0.300490847727261,1.01752673007044,0,0.0322718705998165,0,0,0,0,0.183823573687995,0,0.199360574209671,0,0.71334007985551,0,0,0,2
"8","PRIAs","Jarvis","Forereef",2001,3.69671328209285,0.166361246543997,0,0,0,0,3.82600446755597,0.608348811725689,0,0,0,0,0,0,0,0,0,0,0.0281414569399884,0.111306234942057,0.0398302627322171,1.93051691208065,0.00995132479045704,0,0,4.03065392148081,0,0,0.0991582534854677,0.4396063081128,0.305639019259223,1.53504661778185,0,0,0,0,2
"9","PRIAs","Kingman","Forereef",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"10","PRIAs","Palmyra","Forereef",2001,16.3124466598402,1.41569286603328,0,0,0.0450093874315664,0,0.0477031286529843,0.20400300072921,0,0,0,0,0,0,0,0,0,0,0,7.07416314081782,0,5.87361843629792,0,0,0,0,0,0,1.4129668249162,0,0.239289874961258,0,0,0,0,0,2
"11","PRIAs","Baker","Forereef",2002,24.5601250051647,1.37667637478685,0,0.011485472403171,0.341949843710539,0,1.35273851165697,8.72905388289493,0,0,0,0.316946920993047,0,0,0,0,0,0,0,0,0,2.21995915016203,0.00821001043961984,0,0,2.48275876658644,0,0,0,0,0.19603103215628,9.35069284500797,0.943394964819825,0,0,0,2
"12","NWHI","French Frigate","Forereef",2002,2.07807869769872,0.230325458792836,0,0,0,0,1.55762370174933,0.662474184848601,0,0,0,0,0,0,0.0132030216472477,0,0,0,0,0,0.0246748049899991,0.56398017720701,0,0,0.0469375474739167,0,0,0,0.064754777498891,0,0,0.0121884096759764,0,0,0,0,7
"13","PRIAs","Howland","Forereef",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"14","PRIAs","Jarvis","Forereef",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"15","PRIAs","Kingman","Forereef",2002,17.7049882431651,0,0,0,0,0,0.141073197859606,10.8791329901631,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74274983903308,0,0,0,0,0,0,0.291545714341368,1.71030908102818,0.0598225792602349,0,0,0,0,0,2
"16","NWHI","Kure","Forereef",2002,9.7331938983963,0.320107676901047,0,0.00785735423406789,0,0,4.84169793126837,1.46172776634751,0,0,0,0,0,0,0,0,0,0,0.0481311046075518,0,0,0.169681933489072,0.011254116802303,0,0,2.83389063637695,0.00560222768059874,0.182625747644036,0.526143056196594,0,0.637080972522546,0,0,0,0,0,5
"17","NWHI","Laysan","Forereef",2002,0.309713717546624,0.218872944488705,0,0,0,0,0.0832847820183643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216049753908117,0.140547699167127,0,0,0,0,0,0,0,3
"18","NWHI","Lisianski","Forereef",2002,2.19930405725035,0.165503949053907,0,0,0,0,1.45966897871807,0.60981200950298,0,0,0,0,0,0,0,0,0,0,0.044245277655709,0,0,0.17734956258474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"19","NWHI","Maro","Forereef",2002,1.09386184866857,0,0,0,0,0,0.46039617298354,0.996870155571392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441243770918713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"20","NWHI","Midway","Forereef",2002,4.06456849042527,0.309812940690464,0,0.00143298782010591,0,0,1.57651902990621,1.48472246175645,0,0,0,0,0,0,0,0,0,0,0,0,0.021263394754291,0.165207763719586,0.00264264665978962,0,0,2.93243327406842,0,0.0815107310322658,0.281505075838481,0,0.060096726035569,0.0395573241324323,0,0,0,0,10
"21","SAMOA","Ofu & Olosega","Forereef",2002,1.67700400930148,0.0295068177421872,0,0,0.0480970345519861,0,0.0478772019442713,0.44868211536398,0,0,0.217841620369765,0.0382325188135333,0,0,0,0,0,0,0,0.227360945361235,0.0761548127409776,0.36106643729171,0,0,0,0.0967334478426403,0,0,0.787740064455813,0.0213224355376156,0.0328090186483462,0.0518136820249244,0,0,0,0,8
"22","PRIAs","Palmyra","Forereef",2002,6.46037242043054,0.0207633633838866,0,0.00276635287362063,0.255047660867376,0,0.871834236059369,1.79311719407158,1.28610796169269,0,0,0,0,0,0.00214710134753091,0,0,0,0.0221029609433887,1.39657103044161,0.0381586511745924,1.31875996317201,0.00268779603491444,0,0.00263076219950206,1.57188667584653,0,0,0.407311221753415,0,0.0550673568212472,5.50990767186369,0.149014025946882,0,0,0,10
"23","SAMOA","Rose","Forereef",2002,0.814676996587979,0.0791488516017067,0,0,0.0801382170716604,0,0.121713681275471,0.772721958852299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461418473054557,0,0,0,0,0,0,0.0647314748339823,0,0.0587911957468055,0,0,0,0,0,3
"24","SAMOA","Swains","Forereef",2002,6.93603873504214,0.0773257227799397,0,0,0.0458073896277933,0,3.44288069231658,0.152029491227284,0,0,0,0,0,0,0,0,0,0,0,0.71880113313029,0,1.0026911320175,0,0,0,0,0,0,0.0777246720882106,0,0,7.06496893712219,0,0,0,0,6
"25","SAMOA","Tau","Forereef",2002,1.03471548316833,0.100962645680337,0,0,0.0939553312739786,0,0.043891794637839,0.0809603233858547,0,0,0,0,0,0,0,0,0,0,0,0.798500804897413,0.132555469287317,0.119438165403819,0,0,0,0,0,0,0.117792044242245,0,0.0330898192979314,0,0,0,0,0,4
"26","SAMOA","Tutuila","Forereef",2002,2.10462681556568,0.22359857724893,0,0,0,0,0.0581918263982408,0.175215481681188,0,0,0.634988447487056,0.0370139344000725,0,0,0,0,0.0264339708283288,0,0.0561672669125512,0.839434235553868,0,0.385299077531496,0.0041942229445636,0,0,0,0,0,0.110884128069717,0,0,0.379385426943832,0,1.58372914507347,0.0372492187748148,0,6
"27","MARIAN","Agrihan","Forereef",2003,0.955001130695069,0.196115987862995,0,0,0.0295733454952988,0,0.380835000336255,0.752708292819101,0,0,0.102914045251686,0.0243420422766137,0,0,0,0.215720143278285,0,0,0,0.0190247722338798,0,0.594557147088304,0,0,0.0209852669730788,0.107816015297364,0,0,0.175273003819004,0,0.0128145484009486,0.00563418879592778,0,0,0,0,12
"28","MARIAN","Aguijan","Forereef",2003,0.278163126576529,0.0725512559744479,0,0,0,0,0.0624201147458397,0.189545418706475,0,0,0,0.142799601742186,0,0,0,0,0,0,0,0,0,0.0607795931598503,0,0,0.154487245770535,0,0,0,0.257556087096435,0,0,0,0,0,0,0,4
"29","MARIAN","Alamagan","Forereef",2003,1.28537643819758,0.121021256138058,0,0,0.0500178292893219,0,0.568614911429775,1.38551730427986,0,0,0.837165344113804,0,0,0,0,0.688031379034546,0,0,0,0,0.0572830161578749,0.751306300043821,0.0108521631010665,0,0,0,0,0,0.234326169804221,0,0,0,0,0,0,0,6
"30","MARIAN","Anatahan","Forereef",2003,0.747616797275319,0.0705420464322116,0,0,0,0,0.371823972086103,0.252424102602963,0,0,0.0364152187311167,0.0220713544189351,0,0,0,0,0.0201386694399308,0,0.0236462523015513,0,0,0.227652127450811,0,0,0.0078437199808333,0,0,0,0.147873208553082,0,0,0,0,0,0,0,11
"31","MARIAN","Arakane","Forereef",2003,0.496025721592338,0.253811551315458,0,0,0.0697847145027749,0,0.0899458682601946,0.111144881687703,0,0,0,0,0,0,0,0,0,0,0,0,0.0993639205399964,0.343392100025045,0,0,0.00896588766929908,0,0,0,0.208385776561692,0,0,0,0,0,0,0,5
"32","MARIAN","Asuncion","Forereef",2003,2.72347598207523,0.30789286546254,0,0,0.075696611922031,0,0.823828532980332,2.78675123325067,0,0,0,0,0,0,0,0.593059337462124,0.0496742220879214,0,0,0,0,1.20123469035186,0.0130362483193567,0,0,0,0,0,0.498203981463278,0,0.0641858760381394,0,0,0,0,0,6
"33","MARIAN","Farallon de Pajaros","Forereef",2003,5.25243614873591,1.23721371069469,0,0,0.045438045090891,0,3.22000814466382,1.54826057751812,0,0,0.244660244052404,0,0,0,0,0.727747066267133,0,0,0,0,0,1.22282285156557,0.00412677752630115,0,0.0464218348368798,0.161937369355819,0,0,0,0,0.851709133554243,0.405299686260164,0,0,0,0,8
"34","NWHI","French Frigate","Forereef",2003,3.14251737271771,0.687659508590222,0,0,0,0,0.469206063352651,0.718502362995745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506161132253039,0,0,0,0,0,0,0.760988305526057,0,0,0,0,0,0,0,2
"35","MARIAN","Guam","Forereef",2003,0.605672417302459,0.160738884151967,0,0,0.0214268702804477,0,0.0487731037456982,0.188520278468908,0.0181357146819629,0,0.0481967043298451,0.0476940146176343,0,0.0301095400082191,0.00365080713111114,0.0436730806527577,0,0,0,0.0890262058473106,0.0313476084907038,0,0,0,0,0,0,0,0.168290316791939,0,0,0,0,0,0,0,17
