"","REGION","ISLAND","STRATA","YEAR","TotFish","ACDU","ACMT","ACSO","ACSP","ACXA","AENA","ALCI","ALGL","ALSC","APFU","APVI","ARHI","ARMA","ARST","AUCH","BAPO","BARR","BAVI","BOBI","BOMU","CAAB","CACA","CAFE","CAGA","CAIG","CALU","CAME","CAML","CAOR","CAPP","CASE","CASP","CEAR","CEOC","CESO","CESX","CHCH","CHFN","CHIN","CHMC","CHPE","CHUB","CHUD","COAY","COFL","DAKU","DALA","DASY","DIHY","ECNA","ELBI","EMPE","ENPA","EPLA","EPPO","EPQU","EPSP","EPTA","EUAF","FICO","GACU","GNSP","GOHA","GRAL","GRBI","GROU","GYFL","GYJA","GYME","GYSP","GYUC","GYUN","GYZE","HAMM","HEME","HIFA","HILO","JACK","KYCI","KYPA","LEOL","LETH","LEXA","LUBO","LUGI","LUMO","LURI","MABI","MACO","MAMA","MANI","MOGR","MORA","MYMA","NAAN","NABH","NABR","NACA","NAHE","NALI","NALO","NASP","NATO","NAUN","NAVL","NEAC","NEFE","NONE","OPFA","OPPU","PABA","PACY","PAPO","PARR","PASE","PLAB","PLAL","PLGI","PLLP","PLLV","PLOR","PLPI","PLTE","PLVI","PSDE","PSFL","PSFU","SASP","SCAL","SCFE","SCFO","SCFR","SCGH","SCLY","SCRU","SCSP","SCXA","SEDU","SHAR","SNAP","SPBA","SPHE","SPLE","SPMO","SPQE","STFC","SURG","TAME","THAL","TRBL","TRIG","TROB","TUNA","TYCR","URAS","VALO","WRAS","n"
"1","NWHI","French Frigate","Forereef",2000,0.000188535707020337,0,0,0,0,0,0,0,0,0,0,1.17318825562124e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32698548987141e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16343077731474e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000187710120899399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2","NWHI","Kure","Forereef",2000,3.82219886044561e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9548296612804e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56925066254438e-06,0,6.74605103144166e-06,7.32869478054662e-06,1.79940167461599e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"3","NWHI","Lisianski","Forereef",2000,4.62489276562219e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40556914130507e-05,0,0,0,0,0,0,5.12321431844771e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29957912949176e-06,0,0,0,0,0,0,0,0,0,0,0,0,9.56990772357505e-06,0,0,0,0,0,10
"4","NWHI","Maro","Forereef",2000,0.0001670650801522,0,0,0,1.65303800314873e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85619107709823e-05,0,0,0,0,0,0,4.68973510230795e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57150463155227e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6121520125949e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81754529733927e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"5","NWHI","Pearl & Hermes","Forereef",2000,0.000272414275950093,0,0,0,0,0,0,0,0,0,0,3.46565002188968e-06,0,0,0,0,0,0,0,0,0,2.19831904462177e-06,0,0,2.6612461366228e-06,0.000127571751363071,0,3.9918692049342e-05,0,0,0,0,7.3794796808675e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98373840986841e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41495210877657e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9918692049342e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19831904462177e-06,9.43694398413611e-06,0,0,0,0,0,0,0,0,0,0,0,1.23584632166355e-05,0,0,0,0,0,17
"6","PRIAs","Baker","Forereef",2001,0.000276379102605404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116976981722953,0,1.99320757029828e-05,0,0,0.000233430868946917,0,0,0,0,0,0,5.87500381109709e-05,0,0,0,0,0,0,3.67255844120332e-05,0,0.000132201206935037,0,0,0,0,0,0,0,0,7.81590193149649e-05,0,0,0,0,0,1.88858867050053e-05,0,0,0,0,0,0,0,0,5.6657660115016e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86888335917565e-05,0,0,0,1.94089812039941e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77717734100107e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88858867050053e-05,0,0,0,0,0,0,0,0,0,0,0,1.04618899797743e-06,0,0,0,1.88858867050053e-05,0,2
"7","PRIAs","Howland","Forereef",2001,0.000835213976110187,0,0,0,0,0,0,0,0,0,0,2.15032268778278e-05,0,0,0,0,0,0,0,0,0,5.76830286282151e-05,0,0,0,8.3282246709204e-05,6.04136894303225e-05,0,0,0,0,0,0,4.30064537556557e-05,0,0,0,0,0,0,8.3282246709204e-05,0,0,0,0,0,0,0,0,0,0,0.000279541949411762,4.30064537556557e-05,0,0,0,0,2.15032268778278e-05,0,0,0,0,0,0,0,0,2.21858920783547e-05,0,0,0,0,0,0,0,2.15032268778278e-05,0,0,0,0.000344051630045245,0,0,0,0,0,0.0001116121255923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36891189561825e-05,0,0,0,0,0,0,0,0,0,2.0820561677301e-05,0,0,0,0,0,0,0,4.1641123354602e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1641123354602e-05,0.000108198799589666,0,0,0,0,0,0,0,0,0,0,0.000142672665277504,0,0,0,0,0,0,0,0,2.15032268778278e-05,0,2
"8","PRIAs","Jarvis","Forereef",2001,0.0028060951572183,0,0,0,0,0,0,0,0,3.61866356016619e-05,0,0,0,0,0,0,0,0.00134312461010527,0,0,0,7.32982195337942e-05,0,0,3.61866356016619e-05,0,6.99310754966743e-05,0,1.38012254332408e-05,0,0,0.00111927050842106,0,4.29209236759018e-06,0,0,0,0,0,0,9.24948330470284e-07,0,9.50913306565063e-06,2.23854101684212e-05,0,0,0,0,0,0,0,6.71562305052635e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23854101684212e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000293452527896124,0,0,0,1.38012254332408e-05,0,0,0,1.8093317800831e-05,0,0,0,0,0,0,0,0,0,4.47708203368423e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8093317800831e-05,4.47708203368423e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47708203368423e-05,0,0,0,8.95416406736846e-05,0,2
"9","PRIAs","Kingman","Forereef",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"10","PRIAs","Palmyra","Forereef",2001,0.0018842393928399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114629039551703,0,2.85144646926618e-05,0,0,0,0,0,0,0,0,0,2.85144646926618e-05,0,0,5.70289293853237e-05,0,0,0,0.000342173576311942,0,0,0.000171086788155971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000828061837649305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000199601252848633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55433940779855e-05,0,0,0,5.71180781055675e-07,2.85144646926618e-05,0,0,0,0,0,2
