"","REGION","ISLAND","STRATA","YEAR","TotFish","ACDU","ACMT","ACSO","ACSP","ACXA","AENA","ALCI","ALGL","ALSC","APFU","APVI","ARHI","ARMA","ARST","AUCH","BAPO","BARR","BAVI","BOBI","BOMU","CAAB","CACA","CAFE","CAGA","CAIG","CALU","CAME","CAML","CAOR","CAPP","CASE","CASP","CEAR","CEOC","CESO","CESX","CHCH","CHFN","CHIN","CHMC","CHPE","CHUB","CHUD","COAY","COFL","DAKU","DALA","DASY","DIHY","ECNA","ELBI","EMPE","ENPA","EPLA","EPPO","EPQU","EPSP","EPTA","EUAF","FICO","GACU","GNSP","GOHA","GRAL","GRBI","GROU","GYFL","GYJA","GYME","GYSP","GYUC","GYUN","GYZE","HAMM","HEME","HIFA","HILO","JACK","KYCI","KYPA","LEOL","LETH","LEXA","LUBO","LUGI","LUMO","LURI","MABI","MACO","MAMA","MANI","MOGR","MORA","MYMA","NAAN","NABH","NABR","NACA","NAHE","NALI","NALO","NASP","NATO","NAUN","NAVL","NEAC","NEFE","NONE","OPFA","OPPU","PABA","PACY","PAPO","PARR","PASE","PLAB","PLAL","PLGI","PLLP","PLLV","PLOR","PLPI","PLTE","PLVI","PSDE","PSFL","PSFU","SASP","SCAL","SCFE","SCFO","SCFR","SCGH","SCLY","SCRU","SCSP","SCXA","SEDU","SHAR","SNAP","SPBA","SPHE","SPLE","SPMO","SPQE","STFC","SURG","TAME","THAL","TRBL","TRIG","TROB","TUNA","TYCR","URAS","VALO","WRAS","n"
"1","NWHI","French Frigate","Forereef",2000,0.291837034780871,0,0,0,0,0,0,0,0,0,0,0.031034365980026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859987971202329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166911477279508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252016434645907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2","NWHI","Kure","Forereef",2000,0.153749997009085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150591280808785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337505708074434,0,0.0290738878749866,0.00983938170383087,0.0759442234793096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"3","NWHI","Lisianski","Forereef",2000,0.161327184716817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162817365398866,0,0,0,0,0,0,0.0169302010411199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00577254224492876,0,0,0,0,0,0,0,0,0,0,0,0,0.00849158573919484,0,0,0,0,0,10
"4","NWHI","Maro","Forereef",2000,1.32415407546305,0,0,0,0.0525666004596023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179471076650132,0,0,0,0,0,0,0.0154977233386027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22759813707791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333854659153716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170220724101586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"5","NWHI","Pearl & Hermes","Forereef",2000,0.800772142798498,0,0,0,0,0,0,0,0,0,0,0.00916768904075468,0,0,0,0,0,0,0,0,0,0.00342708020195048,0,0,0.00414876265101293,0.471469083563207,0,0.18162564220897,0,0,0,0,0.0243862674505097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901918695015695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376379565578481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124437486486299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00295142598164268,0.0398288716190013,0,0,0,0,0,0,0,0,0,0,0,0.010965931233613,0,0,0,0,0,17
"6","PRIAs","Baker","Forereef",2001,4.10043410770197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371823364466169,0,0.076144911963567,0,0,1.33158662381472,0,0,0,0,0,0,0.221834874810001,0,0,0,0,0,0,0.151654119406798,0,0.391238038913939,0,0,0,0,0,0,0,0,0.0741331917862656,0,0,0,0,0,0.071896858355496,0,0,0,0,0,0,0,0,0.215740002354153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.630467126124439,0,0,0,2.54645833396402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190713742113162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797083842236581,0,0,0,0,0,0,0,0,0,0,0,0.00283815621467517,0,0,0,0.0539013300746825,0,2
"7","PRIAs","Howland","Forereef",2001,2.57272002582458,0,0,0,0,0,0,0,0,0,0,0.0291932411290634,0,0,0,0,0,0,0,0,0,0.79889254158985,0,0,0,0.70125719798825,0.218929007720986,0,0,0,0,0,0,0.162388512274453,0,0,0,0,0,0,0.500836010767651,0,0,0,0,0,0,0,0,0,0,0.315797058059866,0.300490847727261,0,0,0,0,0.0404276148069758,0,0,0,0,0,0,0,0,0.0844790342470337,0,0,0,0,0,0,0,0.71334007985551,0,0,0,1.11784066490978,0,0,0,0,0,0.988333488941379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163251990933761,0,0,0,0,0,0,0,0,0,0.0322718705998165,0,0,0,0,0,0,0,0.1493059459391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16543574830041,0.482448185380065,0,0,0,0,0,0,0,0,0,0,0.680286271645182,0,0,0,0,0,0,0,0,0.0613713588203088,0,2
"8","PRIAs","Jarvis","Forereef",2001,3.69671328209285,0,0,0,0,0,0,0,0,0.00995132479045704,0,0,0,0,0,0,0,1.53504661778185,0,0,0,0.326725211586307,0,0,0.568962382355809,0,0.195603973913521,0,0.165882159922779,0,0,3.94574240394424,0,0.0162065558364212,0,0,0,0,0,0,0.00381946881989703,0,0.0281414569399884,0.111306234942057,0,0,0,0,0,0,0,0.0758660375252435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4396063081128,0,0,0,0,0,0,0,0,0,0,0,0,1.93051691208065,0,0,0,4.03065392148081,0,0,0,0.0398302627322171,0,0,0,0,0,0,0,0,0,0.166361246543997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966511193398383,0.199628841645203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121456622293648,0,0,0,0.289432463422802,0,2
"9","PRIAs","Kingman","Forereef",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"10","PRIAs","Palmyra","Forereef",2001,16.3124466598402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178701500574877,0,0.0477031286529843,0,0,0,0,0,0,0,0,0,0.107668061311259,0,0,0.131621813649999,0,0,0,1.4129668249162,0,0,7.07416314081782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87361843629792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00780817061529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407884695417988,0,0,0,0.0450093874315664,0.0253015001543325,0,0,0,0,0,2
