"","DIVEID","SPECIES","SIZE_","COUNT","biomass_g","PROJECTEDLENGTH","BIOGM2","ABUNM2","FAMILY","TAXONNAME","TROPHIC_MONREP","REGION","ISLAND","REEF_ZONE","OBS_YEAR","DEPTH"
"1",200009091,"TROB",125,1,8772.68438667435,1696.02890674,0.51724851810083,5.89612592112087e-05,"Carcharhinidae","Triaenodon obesus","PISCIVORE","NWHI","Nihoa","Forereef",2000,NA
"2",200009091,"NONE",0,0,0,1696.02890674,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Nihoa","Forereef",2000,NA
"3",200009091,"CAAB",125,1,15722.9975347495,1696.02890674,0.92704773322356,5.89612592112087e-05,"Carcharhinidae","Carcharhinus amblyrhynchos","PISCIVORE","NWHI","Nihoa","Forereef",2000,NA
"4",200009092,"NONE",0,0,0,1699.99192215,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Nihoa","Forereef",2000,NA
"5",200009101,"CAIG",63,27,99784.3575885211,1948.35843434,5.12145793247343,0.0013857819754375,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Necker","Forereef",2000,NA
"6",200009101,"AENA",63,4,10112.2529069955,1948.35843434,0.519013992947402,0.000205301033398148,"Myliobatidae","Aetobatus narinari","SECONDARY","NWHI","Necker","Forereef",2000,NA
"7",200009101,"NONE",0,0,0,1948.35843434,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Necker","Forereef",2000,NA
"8",200009101,"CAAB",63,4,6235.81951916379,1948.35843434,0.320055047842167,0.000205301033398148,"Carcharhinidae","Carcharhinus amblyrhynchos","PISCIVORE","NWHI","Necker","Forereef",2000,NA
"9",200009102,"SNAP",63,2,8441.05288448363,2142.01468906,0.394070728253871,9.33700413080584e-05,"Lutjanidae","Lutjanidae","SECONDARY","NWHI","Necker","Forereef",2000,NA
"10",200009102,"NONE",0,0,0,2142.01468906,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Necker","Forereef",2000,NA
"11",200009102,"CAIG",63,14,51740.037268122,2142.01468906,2.41548470850252,0.000653590289156409,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Necker","Forereef",2000,NA
"12",200009103,"CAIG",63,7,25870.018634061,1897.01216318,1.3637244471166,0.000369001324075105,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Necker","Forereef",2000,NA
"13",200009103,"NONE",0,0,0,1897.01216318,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Necker","Forereef",2000,NA
"14",200009103,"CAAB",63,1,1558.95487979095,1897.01216318,0.0821794878308867,5.27144748678722e-05,"Carcharhinidae","Carcharhinus amblyrhynchos","PISCIVORE","NWHI","Necker","Forereef",2000,NA
"15",200009103,"WRAS",63,1,5394.72228459229,1897.01216318,0.28437995229029,5.27144748678722e-05,"Labridae","Labridae","SECONDARY","NWHI","Necker","Forereef",2000,NA
"16",200009104,"NONE",0,0,0,2019.93513721,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","Necker","Forereef",2000,NA
"17",200009104,"CAIG",63,5,18478.584738615,2019.93513721,0.91481079754562,0.00024753270082257,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","Necker","Forereef",2000,NA
"18",200009104,"CAGA",63,1,1558.95487979095,2019.93513721,0.0771784623710357,4.9506540164514e-05,"Carcharhinidae","Carcharhinus galapagensis","PISCIVORE","NWHI","Necker","Forereef",2000,NA
"19",200009104,"CAAB",63,4,6235.81951916379,2019.93513721,0.308713849484143,0.000198026160658056,"Carcharhinidae","Carcharhinus amblyrhynchos","PISCIVORE","NWHI","Necker","Forereef",2000,NA
"20",200009111,"NONE",0,0,0,2306.77566126,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Forereef",2000,8.296423243
"21",200009112,"TROB",63,2,1774.6431803676,2362.31733259,0.0751229801299352,8.46626307316315e-05,"Carcharhinidae","Triaenodon obesus","PISCIVORE","NWHI","French Frigate","Forereef",2000,8.875677775
"22",200009112,"NONE",0,0,0,2362.31733259,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Forereef",2000,8.875677775
"23",200009113,"NONE",0,0,0,2509.66076825,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Lagoon",2000,10.129266596
"24",200009114,"NONE",0,0,0,3081.28283684,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Lagoon",2000,10.076033259
"25",200009121,"NONE",0,0,0,1873.11448458,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Forereef",2000,10.253489018
"26",200009121,"CAIG",63,2,7391.433895446,1873.11448458,0.394606627426906,0.000106774039518917,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","French Frigate","Forereef",2000,10.253489018
"27",200009122,"NONE",0,0,0,2010.61592865,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Forereef",2000,9.788899899
"28",200009122,"CAIG",63,2,7391.433895446,2010.61592865,0.367620378915872,9.94720061400723e-05,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","French Frigate","Forereef",2000,9.788899899
"29",200009123,"TROB",63,1,887.3215901838,2524.76532521,0.0351447154840023,3.96076415504805e-05,"Carcharhinidae","Triaenodon obesus","PISCIVORE","NWHI","French Frigate","Forereef",2000,8.945078802
"30",200009123,"NONE",0,0,0,2524.76532521,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Forereef",2000,8.945078802
"31",200009124,"EMPE",63,4,16035.9555575135,2401.8653209,0.667645909118032,0.00016653723109259,"Lethrinidae","Lethrinidae","SECONDARY","NWHI","French Frigate","Forereef",2000,10.287522268
"32",200009124,"CAIG",63,2,7391.433895446,2401.8653209,0.307737233687873,8.32686155462948e-05,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","French Frigate","Forereef",2000,10.287522268
"33",200009124,"NONE",0,0,0,2401.8653209,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Forereef",2000,10.287522268
"34",200009125,"NONE",0,0,0,1656.96881509,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Forereef",2000,8.524566545
"35",200009131,"NONE",0,0,0,2092.64759075,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Backreef",2000,2.685088908
"36",200009131,"GROU",63,1,3807.78171770944,2092.64759075,0.181960007721355,4.77863546839056e-05,"Serranidae","Serranidae","PISCIVORE","NWHI","French Frigate","Backreef",2000,2.685088908
"37",200009132,"CAIG",63,11,40652.886424953,2634.85089295,1.54289134666887,0.00041748092954453,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","French Frigate","Lagoon",2000,9.644227267
"38",200009132,"NONE",0,0,0,2634.85089295,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Lagoon",2000,9.644227267
"39",200009133,"NONE",0,0,0,2833.40831127,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Lagoon",2000,12.6186790977778
"40",200009141,"NONE",0,0,0,2498.75224895,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Lagoon",2000,14.7575679366667
"41",200009142,"NONE",0,0,0,2220.58549603,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Lagoon",2000,5.252388835
"42",200009142,"CAIG",63,2,7391.433895446,2220.58549603,0.332859685369491,9.00663362692242e-05,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","French Frigate","Lagoon",2000,5.252388835
"43",200009142,"SCSP",63,2,8917.81031230856,2220.58549603,0.401597251186769,9.00663362692242e-05,"Scaridae","Scarus sp","PRIMARY","NWHI","French Frigate","Lagoon",2000,5.252388835
"44",200009143,"CAIG",63,2,7391.433895446,2875.60770138,0.257039021417938,6.95505161931582e-05,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","French Frigate","Lagoon",2000,8.769838858
"45",200009143,"NONE",0,0,0,2875.60770138,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Lagoon",2000,8.769838858
"46",200009151,"NONE",0,0,0,1738.14464426,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Forereef",2000,9.457199907
"47",200009151,"CAGA",63,2,3117.9097595819,1738.14464426,0.17938148990525,0.000115065222368273,"Carcharhinidae","Carcharhinus galapagensis","PISCIVORE","NWHI","French Frigate","Forereef",2000,9.457199907
"48",200009151,"CAIG",63,2,7391.433895446,1738.14464426,0.425248492399943,0.000115065222368273,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","French Frigate","Forereef",2000,9.457199907
"49",200009151,"SNAP",63,1,4220.52644224181,1738.14464426,0.242817906793866,5.75326111841366e-05,"Lutjanidae","Lutjanidae","SECONDARY","NWHI","French Frigate","Forereef",2000,9.457199907
"50",200009152,"APVI",63,1,2645.30145365224,2130.94530057,0.124137463920104,4.69275302248496e-05,"Lutjanidae","Aprion virescens","PISCIVORE","NWHI","French Frigate","Forereef",2000,12.9299222
"51",200009152,"SHAR",63,16,21481.329483004,2130.94530057,1.00806573858363,0.000750840483597594,"Carcharhinidae","Carcharhinidae","PISCIVORE","NWHI","French Frigate","Forereef",2000,12.9299222
"52",200009152,"CAIG",63,1,3695.716947723,2130.94530057,0.17343086876676,4.69275302248496e-05,"Carangidae","Caranx ignobilis","PISCIVORE","NWHI","French Frigate","Forereef",2000,12.9299222
"53",200009152,"NONE",0,0,0,2130.94530057,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Forereef",2000,12.9299222
"54",200009153,"NONE",0,0,0,1949.20625204,0,0,"UNKNOWN","no individuals seen","UNKNOWN","NWHI","French Frigate","Forereef",2000,10.531233313
"55",200009154,"SCSP",63,4,17835.6206246171,2613.20956729,0.682517806756438,0.000153068473729344,"Scaridae","Scarus sp","PRIMARY","NWHI","French Frigate","Backreef",2000,15.152888871
"56",200009154,"NASP",63,3,15147.3223173538,2613.20956729,0.579644377050945,0.000114801355297008,"Acanthuridae","Naso sp","PLANKTIVORE","NWHI","French Frigate","Backreef",2000,15.152888871
"57",200009154,"NAUN",63,3,13724.0488220046,2613.20956729,0.525179801642812,0.000114801355297008,"Acanthuridae","Naso unicornis","PRIMARY","NWHI","French Frigate","Backreef",2000,15.152888871
