DIVEID,REGION,ISLAND,YEAR,STRATA,CENTROIDLAT,CENTROIDLON,PROJECTEDLENGTH_M,DEPTH_M,Shark,Jack,Snapper,Tuna,Grouper,Parrotfish,Rays,Surgeonfish,Triggerfish,Milkfish,Wrasse,Emperor,Barracuda,OTHER,TotFish
200102091,PRIAs,Baker,2001,Forereef,0.199363271,-176.4656677,"2,576",11.8,1.013146016,3.29373359,6.357188034,0,0.586292578,0.320588712,5.092916668,0,0,0,0,0,0,0,16.6638656
200102093,PRIAs,Baker,2001,Forereef,0.187921152,-176.4718597,"2,647",10.2,0.263822974,0.330004135,5.25567055,0,0.82569921,0.623896951,0,0.381427484,0,0,0,0,0,0.782476078,8.462997383
200201291,PRIAs,Baker,2002,Forereef,0.190029042,-176.4611078,"1,926",14.5,20.10152734,4.074272533,7.568590848,0,0.392062064,0,4.965517533,0,0.683899687,0,0,0,18.70138569,0.656864787,57.14412049
200201292,PRIAs,Baker,2002,Forereef,0.202391451,-176.4708055,"3,350",15.4,0.756629647,1.36879551,3.128672548,0,0,0,0,2.75335275,0,0,0,0,0,0.016420021,8.023870475
200401231,PRIAs,Baker,2004,Forereef,0.188149378,-176.4790382,"1,710",14.2,26.08148262,3.860543529,6.687109483,1.378098461,0.834471167,0.312368985,18.59580077,5.28447052,0,0,0,0.211981715,0,0.032167963,63.27849521
200401232,PRIAs,Baker,2004,Forereef,0.187893223,-176.4648374,"1,632",14.1,11.15784056,1.92398199,24.34730445,0,0.349719108,0.327277343,0,1.98237952,0.403539932,0,0,0,0.766603679,0,41.25864658
200401233,PRIAs,Baker,2004,Forereef,0.197785733,-176.4619828,"2,485",14.1,11.49662073,1.949139818,7.610805533,0,0.229703922,0,0,11.02700037,0,0,0,0.145879909,0,0.048299118,32.5074494
200401234,PRIAs,Baker,2004,Forereef,0.202214034,-176.4805811,"2,614",16.1,34.17505952,4.731211595,4.576273329,0,0.651699252,0,0,3.953184254,0.251966601,0,0,0.169325184,0,0.244357986,48.75307772
200401235,PRIAs,Baker,2004,Forereef,0.192763945,-176.4633148,"2,005",9.2,0.875244881,0.452387505,14.04517786,0,0.142373506,0,0,0,0,25.11132013,0,0,0.057012796,0,40.68351668
200401236,PRIAs,Baker,2004,Forereef,0.191521871,-176.4665329,"1,756",6.5,0.499456657,0,2.75450676,0,0,0,0,0,0,0,0,0,0,0,3.253963417
200401241,PRIAs,Baker,2004,Forereef,0.188716468,-176.460698,"1,487",19,3.173011845,0.914014239,2.958700117,0,0,0.359338515,0,23.32052987,0,0,0,0,23.14682463,0,53.87241922
200401242,PRIAs,Baker,2004,Forereef,0.201363539,-176.4667408,"1,997",11,0,1.451809168,1.762087382,0,0,0.267510156,0,0,0,1.023056868,0,0,0,0,4.504463574
200601301,PRIAs,Baker,2006,Forereef,0.205781568,-176.4770077,930,19.8,3.166260488,2.267486391,3.080073676,0,0.613931579,0.888266671,0,0,0,0,0,0,0,0.01640544,10.03242424
200601302,PRIAs,Baker,2006,Forereef,0.202757984,-176.4670756,"1,425",16.5,19.50383614,1.147584379,5.970786253,0,0.200353503,1.039867999,0,3.474392806,0.46237473,0,0,0,0,0,31.79919581
200601303,PRIAs,Baker,2006,Forereef,0.192161203,-176.4605485,"1,841",15.4,1.708017112,0.988525158,1.099274374,0,0,0,0,0,0,0,0,0,0.1614085,0,3.957225144
200601304,PRIAs,Baker,2006,Forereef,0.198945502,-176.4848033,"1,916",15.3,5.563605849,2.925466332,2.481662976,1.024949656,0.148958667,3.588973032,0,0.215879958,0.687532012,0,0,0,0,0,16.63702848
200601305,PRIAs,Baker,2006,Forereef,0.188284576,-176.4799634,"2,427",13,0,0.33970242,0.90600771,0,1.0582314,0,0,0.35638403,0,0,0,0,0,0,2.660325561
200601306,PRIAs,Baker,2006,Forereef,0.189327431,-176.4681625,"1,406",6.2,0,1.294676994,5.875791247,0,0.203031153,3.333795164,6.252570162,0,0.468554198,0,0,0,0,0,17.42841892
200601311,PRIAs,Baker,2006,Forereef,0.202453462,-176.4703785,"1,537",6.1,0,0,1.145018792,0,0,0,0,0,0,0,0,0,0,0,1.145018792
200601312,PRIAs,Baker,2006,Forereef,0.190168139,-176.4713009,"3,123",8.7,0.28089795,0,5.179712397,0,0.091385684,2.697863006,0.230408682,0.396186938,0,0,0,0,0,0,8.876454657
200602011,PRIAs,Baker,2006,Forereef,0.196788579,-176.4624578,"2,631",14.5,0.333398985,0.137720858,1.634656088,0,0,0,0,0.152928937,0,0,0,0,0.112935712,0,2.37164058
200602012,PRIAs,Baker,2006,Forereef,0.192323998,-176.4664277,"1,669",6.6,25.49988603,0.272673423,2.635893184,0,0,0.960399404,0,0.259211436,0,0,0,0,0,0,29.62806348
200802081,PRIAs,Baker,2008,Forereef,0.194109391,-176.4862499,"2,191",13.2,3.018491564,0.735788549,1.517674096,0,0.063942963,0.47542417,0.160469866,0.257920611,0,0,0,0,0,0,6.22971182
200802082,PRIAs,Baker,2008,Forereef,0.187941523,-176.4776275,"1,259",17.6,0.588465346,0.723469689,2.885868632,0,0.2225877,0,0,1.122288375,0.260480888,0,0,0,0,0,5.803160631
200802083,PRIAs,Baker,2008,Forereef,0.204763195,-176.4728236,"1,266",16.2,3.368864071,0.143048855,2.799820257,0,0.221292443,0,70.55627095,0.986007138,0,0,0,0,0,0.015511682,78.0908154
200802091,PRIAs,Baker,2008,Forereef,0.199352962,-176.4630231,"1,608",15.2,1.418894722,0.794509654,3.03437175,2.135602017,0.204048732,0.270504933,43.72994439,0.434510621,0,0.459901433,0.13982614,0,0.32489219,0.021792537,52.96879911
200802092,PRIAs,Baker,2008,Forereef,0.188595101,-176.4689912,"3,643",15.2,24.30096171,1.423651619,2.896501229,0,0.153832294,0.142970365,0,0.534513429,0.090010303,0,0,0,0.041060573,0,29.58350152
200802093,PRIAs,Baker,2008,Forereef,0.19996121,-176.4835661,"2,478",15.4,1.010222362,1.903313551,0.262638216,0.601793935,0.056540198,0.274443484,0.120437727,0.684182351,0,0,0,0,0,0,4.913571823
200802094,PRIAs,Baker,2008,Forereef,0,0,"2,190",15.5,0,0.726961592,1.386664539,0,0,0.214700757,35.10273973,0.733058053,0,0,0,0,0,0.017935617,38.18206029
