"","Mean.REGION","Mean.ISLAND","Mean.ANALYSIS_YEAR","Mean.METHOD","Mean.N","Mean.TotFish","Mean.PISCIVORE","Mean.PLANKTIVORE","Mean.PRIMARY","Mean.SECONDARY","Mean.DEPTH","Mean.HARD_CORAL","Mean.TotalArea","Mean.TotalAreaWithSamples","PooledSE.REGION","PooledSE.ISLAND","PooledSE.ANALYSIS_YEAR","PooledSE.METHOD","PooledSE.N","PooledSE.TotFish","PooledSE.PISCIVORE","PooledSE.PLANKTIVORE","PooledSE.PRIMARY","PooledSE.SECONDARY","PooledSE.DEPTH","PooledSE.HARD_CORAL"
"1","PRIAs","Baker","2008","nSPC",4,168.904202516233,65.672392388435,39.191557019064,43.0369613135591,21.0032917951745,12.875,NA,390.27580156,118.6325616,"PRIAs","Baker","2008","nSPC",4,26.9866782340657,11.2939749445212,7.97934285396619,12.8066777477949,7.46341258410601,2.23010007538023,NA
"2","PRIAs","Baker","2010","nSPC",21,68.7749195377124,31.3444608749976,15.7853336032389,13.9126405782925,7.73248448118331,9.13860102952843,33.3241281533581,390.27580156,390.27580156,"PRIAs","Baker","2010","nSPC",21,11.6576463898527,6.6584289009939,3.93970147117743,2.36789161441713,1.83091695119519,0.425071672557139,3.18208385488459
"3","PRIAs","Baker","2012","nSPC",24,123.069622520413,65.926341754271,18.4358791971761,28.5633882413469,10.1440133276186,9.5270743454641,32.3056696741645,390.27580156,390.27580156,"PRIAs","Baker","2012","nSPC",24,30.7846540610054,24.6153554683658,2.88061876586676,6.92723702677605,1.31576845016884,0.32564348758295,6.24533835898154
"4","PRIAs","Baker","2015","nSPC",36,106.124606287798,42.836742483075,27.4173341954001,22.0441945642599,13.826335045063,9.83926743579288,28.2375695334063,390.27580156,390.27580156,"PRIAs","Baker","2015","nSPC",36,15.5167754319476,9.32345705843668,4.17925990760678,4.4082281455725,2.18960082317656,0.25277883551472,3.00053788560508
"5","PRIAs","Howland","2008","nSPC",10,140.969845035099,70.7915300472439,27.4300989075457,29.1572276272891,13.5909884530205,7.06431689658201,NA,172.85286682,172.85286682,"PRIAs","Howland","2008","nSPC",10,21.6284120330657,19.5449799927523,6.12278931014718,2.52072134209591,1.57022668367761,0.469222864015762,NA
"6","PRIAs","Howland","2010","nSPC",16,71.1644134476345,27.3477060327285,18.4131407681979,13.7627326158112,11.6408340308969,7.89268154999139,38.6145048871113,172.85286682,172.85286682,"PRIAs","Howland","2010","nSPC",16,13.9258804933944,6.53507330633246,3.37419282423684,1.31321143564425,4.68994950475624,0.294380208035579,5.0874347732864
"7","PRIAs","Howland","2012","nSPC",39,103.481152190484,46.1314722222873,21.5907226953423,20.3464523449441,15.4125049279104,8.56430020706011,32.8332673357705,172.85286682,172.85286682,"PRIAs","Howland","2012","nSPC",39,7.16124795512976,7.0222441610977,2.57240935422467,2.19787179922225,2.15495064749371,0.319386592608964,3.00639697571676
"8","PRIAs","Howland","2015","nSPC",35,114.18595061733,53.4920697490659,31.5303060570555,17.6286118261196,11.5349629850893,8.76839203234785,23.5597387517083,172.85286682,172.85286682,"PRIAs","Howland","2015","nSPC",35,10.7319751495135,7.96591397945849,3.00666284375037,2.27592200399611,1.06235656018495,0.173358721665869,3.00227751637775
"9","PRIAs","Jarvis","2008","nSPC",19,166.406422034033,95.5471818982988,24.7318271039278,31.3141622503752,14.8132507814309,9.06895408367872,NA,365.90565228,365.90565228,"PRIAs","Jarvis","2008","nSPC",19,22.3458889919576,21.2864765046703,2.13651986593776,3.71845697788575,1.84732213886265,0.185827340846836,NA
"10","PRIAs","Jarvis","2010","nSPC",30,170.7782815442,107.631560451861,20.0829940431617,30.152833308166,12.9108937410113,9.51394421325062,23.0936830006763,365.90565228,365.90565228,"PRIAs","Jarvis","2010","nSPC",30,24.6107557339349,24.6973430867678,3.66474087228843,2.12158445489832,0.743281571472677,0.386798924524845,2.3481080312047
"11","PRIAs","Jarvis","2012","nSPC",42,212.138825403993,114.778559596393,36.0021130042041,45.7418619080695,15.6162908953258,8.73291208577514,18.682047870964,365.90565228,365.90565228,"PRIAs","Jarvis","2012","nSPC",42,21.0782745913779,16.6785813816258,4.41667197098222,3.71816662089222,1.428643758118,0.325845368707197,1.64504604386369
"12","PRIAs","Jarvis","2015","nSPC",62,139.681016737059,63.1390902430461,33.1885371828227,29.2803205269368,14.0730687842532,8.48050974704766,15.2443763875135,365.90565228,365.90565228,"PRIAs","Jarvis","2015","nSPC",62,12.9123470924426,9.482496296953,4.46776253549334,3.08595912553762,1.13626173120363,0.211291213858695,1.11041569904395
"13","PRIAs","Jarvis","2016","nSPC",30,113.393363660871,58.0729465457133,15.7616694697292,30.9687819976787,8.58996564775007,9.21872228801472,0.66375050563895,365.90565228,365.90565228,"PRIAs","Jarvis","2016","nSPC",30,13.422602069454,12.5427134063758,2.57969773763536,2.86175073252473,0.918917214275178,0.376911571201621,0.218223882561626
"14","PRIAs","Johnston","2008","nSPC",3,48.1557371050289,14.5142250126601,12.2064754518676,14.9064973342078,6.52853930629352,11.0833333333333,NA,9410.19471788,323.0447292,"PRIAs","Johnston","2008","nSPC",3,10.5038907884748,8.82804150520626,3.94377434771227,0.682471694040959,1.48266523087058,0.506308114517466,NA
"15","PRIAs","Johnston","2010","nSPC",8,66.9887291825567,24.0653624541665,9.96731109910134,27.7344627390095,5.2215928902794,16.9286239330911,21.1763491880263,9410.19471788,478.6258021,"PRIAs","Johnston","2010","nSPC",8,8.62193445394509,8.33188077913704,3.94774912430171,6.70286973021661,1.55040439034609,0.707343000612628,6.08706521572117
