,Mean.REGION,Mean.ISLAND,Mean.ANALYSIS_YEAR,Mean.METHOD,Mean.N,Mean.TotFish,Mean.PISCIVORE,Mean.PLANKTIVORE,Mean.PRIMARY,Mean.SECONDARY,Mean.DEPTH,Mean.HARD_CORAL,Mean.TotalArea,Mean.TotalAreaWithSamples,PooledSE.REGION,PooledSE.ISLAND,PooledSE.ANALYSIS_YEAR,PooledSE.METHOD,PooledSE.N,PooledSE.TotFish,PooledSE.PISCIVORE,PooledSE.PLANKTIVORE,PooledSE.PRIMARY,PooledSE.SECONDARY,PooledSE.DEPTH,PooledSE.HARD_CORAL
1,PRIAs,Baker,2008,nSPC,4,181.9038635,65.67239239,39.19155702,50.29882641,26.74108768,12.875,NA,390.2758016,118.6325616,PRIAs,Baker,2008,nSPC,4,38.96215612,11.29397494,7.979342854,19.06143775,13.04874993,2.230100075,NA
2,PRIAs,Baker,2010,nSPC,21,78.02095397,40.59049531,15.7853336,13.91264058,7.732484481,9.13860103,33.32412815,390.2758016,390.2758016,PRIAs,Baker,2010,nSPC,21,17.56264401,14.37642902,3.939701471,2.367891614,1.830916951,0.425071673,3.182083855
3,PRIAs,Baker,2012,nSPC,24,125.9233509,67.58100629,19.15854786,29.0397834,10.14401333,9.527074345,32.30566967,390.2758016,390.2758016,PRIAs,Baker,2012,nSPC,24,31.29140804,24.84322098,3.223585428,7.181129778,1.31576845,0.325643488,6.245338359
4,PRIAs,Baker,2015,nSPC,36,121.1865558,43.55005249,32.55734987,26.93625953,18.14289395,9.839267436,28.23756953,390.2758016,390.2758016,PRIAs,Baker,2015,nSPC,36,20.69771848,9.544119322,6.672442023,7.491623051,4.325315444,0.252778836,3.000537886
5,PRIAs,Howland,2008,nSPC,10,148.1028416,75.59198863,28.63710398,30.28276053,13.59098845,7.064316897,NA,172.8528668,172.8528668,PRIAs,Howland,2008,nSPC,10,24.23939289,22.55213983,6.460574498,3.336353298,1.570226684,0.469222864,NA
6,PRIAs,Howland,2010,nSPC,16,73.18885799,27.34770603,20.43758531,13.76273262,11.64083403,7.89268155,38.61450489,172.8528668,172.8528668,PRIAs,Howland,2010,nSPC,16,14.19346699,6.535073306,4.178682086,1.313211436,4.689949505,0.294380208,5.087434773
7,PRIAs,Howland,2012,nSPC,39,112.3665852,47.84647145,21.5907227,22.59190935,20.33748172,8.564300207,32.83326734,172.8528668,172.8528668,PRIAs,Howland,2012,nSPC,39,8.338542145,7.392842363,2.572409354,3.397844085,6.406843132,0.319386593,3.006396976
8,PRIAs,Howland,2015,nSPC,35,118.9002212,55.44105966,32.02419077,19.28369598,12.15127482,8.768392032,23.55973875,172.8528668,172.8528668,PRIAs,Howland,2015,nSPC,35,11.43303491,8.337498073,3.107036293,3.422490666,1.272271641,0.173358722,3.002277516
9,PRIAs,Jarvis,2008,nSPC,19,168.4824687,95.5471819,26.8078738,31.31416225,14.81325078,9.068954084,NA,365.9056523,365.9056523,PRIAs,Jarvis,2008,nSPC,19,22.6516318,21.2864765,3.306661541,3.718456978,1.847322139,0.185827341,NA
10,PRIAs,Jarvis,2010,nSPC,30,178.0451085,114.8068023,20.08299404,30.15283331,13.00247888,9.513944213,23.093683,365.9056523,365.9056523,PRIAs,Jarvis,2010,nSPC,30,25.4395631,25.4818198,3.664740872,2.121584455,0.758551773,0.386798925,2.348108031
