ISLAND,YEAR,TotFish,TotFishSE,group,All_TotFish,All_TotFishSE
Baker,2001,0.638484495,0.374661521,Shark,12.56343149,4.100434109
Howland,2001,3.010502892,0.085552462,Shark,15.984799,2.572720025
Jarvis,2001,2.737408553,0.608348812,Shark,21.67861862,3.696713285
Kingman,2001,1.582731333,NA,Shark,4.587711665,NA
Palmyra,2001,0.291127639,0.204003001,Shark,17.17583713,16.31244666
Baker,2002,10.42907849,9.672448847,Shark,32.58399548,24.56012501
Howland,2002,4.863235633,NA,Shark,38.97369274,NA
Jarvis,2002,9.879962368,NA,Shark,67.09260173,NA
Kingman,2002,12.55912904,6.128845468,Shark,20.02064639,8.901999954
Palmyra,2002,6.177049912,1.787715255,Shark,34.90725582,6.460372421
Baker,2004,14.34733588,5.415532741,Shark,40.69575862,8.417639921
Howland,2004,15.67631281,3.928357291,Shark,47.96860801,10.95539452
Jarvis,2004,51.59336998,27.35471406,Shark,140.1736177,85.91188497
Johnston,2004,6.100319042,2.92949263,Shark,9.496141708,3.347846664
Kingman,2004,8.093282736,4.209968722,Shark,19.11853571,6.508953417
Palmyra,2004,4.196663939,1.175262824,Shark,15.1508393,1.901958475
Wake,2005,24.48181033,18.73641371,Shark,51.92989685,20.61979782
Baker,2006,5.045853096,3.009115132,Shark,11.2429733,4.68531058
Howland,2006,21.98767632,5.782333732,Shark,46.43487894,7.770338696
Jarvis,2006,68.29896033,16.24005573,Shark,123.3060022,30.9446099
Johnston,2006,4.916126235,2.600818024,Shark,13.23807199,7.364135887
Kingman,2006,8.021128985,1.834774745,Shark,38.05317055,13.52190695
Palmyra,2006,4.967164415,1.139227424,Shark,15.95099685,2.665225412
Wake,2007,0.947186381,0.509822576,Shark,12.26109203,1.790067268
Baker,2008,4.417800325,2.868921659,Shark,27.74116848,9.650027542
Howland,2008,8.14956885,5.19660837,Shark,61.98470254,44.49603424
Jarvis,2008,18.81006778,5.075761511,Shark,35.55175002,6.050877422
Johnston,2008,4.394314363,3.10018338,Shark,5.025307954,3.126994738
Kingman,2008,7.752398774,2.262560273,Shark,21.93045583,9.260936067
Palmyra,2008,6.01167871,2.015068136,Shark,17.91698125,6.2476937
Wake,2009,0.815156191,0.678654261,Shark,18.74257885,8.687462072
Baker,2010,2.993499499,0.949080669,Shark,14.60042734,4.03172503
Howland,2010,3.006722869,0.875625934,Shark,11.0969171,1.751888438
Jarvis,2010,42.07263096,13.68036835,Shark,127.9252665,42.60858978
Johnston,2010,2.207788575,1.366417002,Shark,3.818450042,1.610657284
Kingman,2010,18.07857682,4.710828189,Shark,24.54016538,4.956559509
Palmyra,2010,4.659497576,0.644518509,Shark,23.11476571,5.6486599
Wake,2011,2.065766555,0.698467014,Shark,8.646887098,2.170316394
Baker,2012,5.606674109,1.745844475,Shark,71.01906187,26.87011818
Howland,2012,8.176020367,2.842465441,Shark,27.43674379,6.565496775
Jarvis,2012,19.91331825,5.904226716,Shark,28.4421283,6.285338913
Johnston,2012,0.187231139,0.129020262,Shark,2.449213743,0.299292087
Kingman,2012,9.056951581,2.845501706,Shark,16.65686358,3.4951088
Palmyra,2012,2.64780831,1.236478452,Shark,20.88106798,5.575519584
Wake,2014,0.788350017,0.43480763,Shark,5.669567407,2.455541367
Baker,2015,4.633885146,1.629700531,Shark,25.57125392,3.723820105
Howland,2015,4.7698073,1.796548569,Shark,16.59804351,3.793100345
Jarvis,2015,14.3350855,7.61129334,Shark,49.09744859,6.966407056
Johnston,2015,0,0,Shark,1.031874172,0.25537536
Kingman,2015,5.72024539,1.178762631,Shark,11.69658927,2.024067072
Palmyra,2015,2.525852734,0.843426756,Shark,15.36581363,3.817762785
Baker,2001,1.811868863,1.481864728,Jack,,
Howland,2001,2.821368305,0.513451517,Jack,,
Jarvis,2001,5.596234507,3.826004468,Jack,,
Kingman,2001,0.22984218,NA,Jack,,
Palmyra,2001,0.047703129,0.047703129,Jack,,
Baker,2002,2.721534022,1.352738512,Jack,,
Howland,2002,0,NA,Jack,,
Jarvis,2002,10.77313718,NA,Jack,,
Kingman,2002,0.318837525,0.139134699,Jack,,
Palmyra,2002,1.800574312,0.871834236,Jack,,
Baker,2004,2.47178339,0.607560843,Jack,,
Howland,2004,10.306532,5.762979609,Jack,,
Jarvis,2004,1.640445261,0.509948419,Jack,,
Johnston,2004,0.499107761,0.280893326,Jack,,
Kingman,2004,0.498240157,0.428034936,Jack,,
Palmyra,2004,1.513248894,0.576908661,Jack,,
Wake,2005,12.41947537,11.13494385,Jack,,
Baker,2006,1.301080923,0.446149267,Jack,,
Howland,2006,2.394145827,1.174508899,Jack,,
Jarvis,2006,23.85053757,18.57718916,Jack,,
Johnston,2006,7.433842131,6.881385536,Jack,,
Kingman,2006,0.330414592,0.104080478,Jack,,
Palmyra,2006,0.644023045,0.312905483,Jack,,
Wake,2007,1.233879,0.704586066,Jack,,
Baker,2008,0.899296207,0.187914865,Jack,,
Howland,2008,2.574116672,0.994777505,Jack,,
Jarvis,2008,1.36494078,0.544295816,Jack,,
Johnston,2008,0.288948483,0.110325456,Jack,,
Kingman,2008,1.322346557,0.65442485,Jack,,
Palmyra,2008,0.119692002,0.037896004,Jack,,
Wake,2009,0.877758668,0.806651568,Jack,,
Baker,2010,0.434820375,0.121101507,Jack,,
Howland,2010,1.353563107,0.718044874,Jack,,
Jarvis,2010,29.69523386,17.33499115,Jack,,
Johnston,2010,0.788339576,0.675384507,Jack,,
Kingman,2010,0.85712948,0.38605225,Jack,,
Palmyra,2010,0.728245604,0.287374377,Jack,,
Wake,2011,0.560710921,0.205955624,Jack,,
Baker,2012,0.999493274,0.29360874,Jack,,
Howland,2012,0.880395312,0.216759726,Jack,,
Jarvis,2012,0.984236445,0.361203332,Jack,,
Johnston,2012,0.70338392,0.250873933,Jack,,
Kingman,2012,0.572748195,0.294657165,Jack,,
Palmyra,2012,4.06960059,3.689396766,Jack,,
Wake,2014,0.630031839,0.425080295,Jack,,
Baker,2015,0.505792519,0.465033776,Jack,,
Howland,2015,0.971622781,0.569849492,Jack,,
Jarvis,2015,0.274674757,0.141428615,Jack,,
Johnston,2015,0.185777787,0.072714735,Jack,,
Kingman,2015,0.467836163,0.3526207,Jack,,
Palmyra,2015,0.356161063,0.14851793,Jack,,
Baker,2001,0,0,Tuna,,
Howland,2001,0,0,Tuna,,
Jarvis,2001,0.439606308,0.439606308,Tuna,,
Kingman,2001,0,NA,Tuna,,
Palmyra,2001,0,0,Tuna,,
Baker,2002,0,0,Tuna,,
Howland,2002,0,NA,Tuna,,
Jarvis,2002,0,NA,Tuna,,
Kingman,2002,0.855154541,0.855154541,Tuna,,
Palmyra,2002,0,0,Tuna,,
Baker,2004,0.229683077,0.229683077,Tuna,,
Howland,2004,0,0,Tuna,,
Jarvis,2004,0,0,Tuna,,
Johnston,2004,0,0,Tuna,,
Kingman,2004,0,0,Tuna,,
