"","ISLAND","YEAR","TotFish.Mean","TotFish.SE","Rays.Mean","Rays.SE","Wrasse.Mean","Wrasse.SE","Tuna.Mean","Tuna.SE","Triggerfish.Mean","Triggerfish.SE","Surgeonfish.Mean","Surgeonfish.SE","Snapper.Mean","Snapper.SE","Shark.Mean","Shark.SE","Parrotfish.Mean","Parrotfish.SE","OTHER.Mean","OTHER.SE","Milkfish.Mean","Milkfish.SE","Jack.Mean","Jack.SE","Grouper.Mean","Grouper.SE","Emperor.Mean","Emperor.SE","Barracuda.Mean","Barracuda.SE"
"1","Baker",2001,12.5634314915,4.1004341085,2.546458334,2.546458334,0,0,0,0,0,0,0.190713742,0.190713742,5.806429292,0.550758742,0.638484495,0.374661521,0.4722428315,0.1516541195,0.391238039,0.391238039,0,0,1.8118688625,1.4818647275,0.705995894,0.119703316,0,0,0,0
"2","Howland",2001,15.984798995,2.572720025,0,0,0,0,0,0,0,0,5.0248205705,0.8435382625,2.8044179695,1.0175267305,3.0105028915,0.0855524615000001,1.334393764,0.183823574,0.0322718705,0.0322718705,0,0,2.821368305,0.513451517,0.6565327745,0.1993605745,0.3004908475,0.3004908475,0,0
"3","Jarvis",2001,21.678618615,3.696713285,5.4647192605,4.0306539215,0.111306235,0.111306235,0.439606308,0.439606308,0,0,0.1663612465,0.1663612465,3.803142141,1.930516912,2.737408553,0.608348812,1.0396034505,0.0991582535,0.3030835235,0.0380927815,0,0,5.5962345065,3.8260044675,0.44227651,0.305639019,0.0398302625,0.0398302625,1.535046618,1.535046618
"4","Kingman",2001,4.587711665,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1.981769784,NA,1.582731333,NA,0.793368369,NA,0,NA,0,NA,0.22984218,NA,0,NA,0,NA,0,NA
"5","Palmyra",2001,17.1758371305,16.3124466595,0,0,7.07416314,7.07416314,0,0,0.3296622965,0.0450093875,1.415692866,1.415692866,6.365231362,5.873618438,0.2911276385,0.2040030005,1.412966825,1.412966825,0,0,0,0,0.0477031285,0.0477031285,0.239289875,0.239289875,0,0,0,0
"6","Baker",2002,32.5839954825,24.5601250075,2.4827587665,2.4827587665,0,0,0,0,0.3419498435,0.3419498435,1.376676375,1.376676375,5.348631698,2.21995915,10.4290784935,9.6724488465,0,0,0.336642404,0.320222383,0,0,2.7215340215,1.3527385115,0.196031032,0.196031032,0,0,9.350692845,9.350692845
"7","Howland",2002,38.97369274,NA,0,NA,0,NA,0,NA,0.333381964,NA,0,NA,1.509228518,NA,4.863235633,NA,0,NA,0.027843715,NA,0,NA,0,NA,0.28891823,NA,0,NA,31.95108467,NA
"8","Jarvis",2002,67.09260173,NA,18.54771225,NA,0,NA,0,NA,1.243415834,NA,10.10706237,NA,6.539876749,NA,9.879962368,NA,1.289349992,NA,0.238869699,NA,8.162401065,NA,10.77313718,NA,0,NA,0,NA,0.310814228,NA
"9","Kingman",2002,20.02064638925,8.90199995424137,0,0,0,0,0.8551545405,0.8551545405,0,0,0.04411408075,0.04411408075,5.7344821545,2.03571763542539,12.5591290375,6.12884546781749,0.44290878525,0.209492706392172,0,0,0,0,0.31883752475,0.139134698918393,0.06602026475,0.0384512590282652,0,0,0,0
"10","Palmyra",2002,34.907255821,6.46037242053912,1.7755042222,1.5718866753596,4.4969151741,1.39657103080418,0,0,0.4509084248,0.255047660838276,0.0207633634,0.0207633634,7.3593401567,1.31875996304491,6.1770499115,1.78771525451423,0.9887058766,0.407311221809423,0.0336397659,0.0258039657433971,1.5392376912,1.28610796126124,1.8005743122,0.871834236102688,0.2078173539,0.0550673567841194,0.0571402223,0.0381586511405614,9.999659344,5.50990767148802
