SITEVISITID,SITE,Latitude,Longitude,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
8930,JAR-738,-160.004883,-0.36317,87.19890152,87.71330154,93.83240155,95.1601016,73.79690125,91.65670162,73.36570125,76.37630138,86.0445015,77.32400132,90.76690161
8931,JAR-763,-160.001013,-0.362026,93.97850162,91.2207016,100.9594017,101.0969017,82.22810139,98.29620173,76.70660132,83.75500151,91.76040161,83.69320144,94.04080166
8932,JAR-759,-160.006872,-0.366654,67.17360115,73.21910129,79.42820132,75.89580129,54.37460094,70.31070126,55.59130096,64.11630118,72.27610125,50.70250087,72.97690131
8943,JAR-755,-159.979691,-0.367099,138.2592024,140.5964024,138.3381023,138.1402023,136.9735023,151.0316026,138.1978024,139.2340024,148.8698026,156.2153027,139.3608025
8944,JAR-819,-159.981363,-0.370144,136.1049024,138.0651024,134.4276022,135.1606023,133.6715023,148.4825026,135.1760023,136.3441024,143.7353025,152.8390027,136.3775024
8945,JAR-802,-159.984259,-0.37261,82.71980145,72.31170124,67.98610117,74.18880123,80.41920136,97.19290171,83.61630147,78.7730014,88.72960159,88.14540157,91.96290161
8946,JAR-760,-159.980219,-0.37989,117.4590021,109.2935019,101.6938017,108.5569018,121.6040021,134.7068024,120.5595021,118.4354021,135.2125024,136.9100024,125.8801022
8953,JAR-732,-159.972047,-0.375813,142.3589025,143.8438025,143.4038024,143.9848025,139.6786024,154.3172027,141.5865025,142.5676025,156.1056027,159.6161028,146.4814026
8954,JAR-757,-159.975374,-0.376817,140.5445025,141.0130024,140.5771024,140.0755024,137.0654023,152.5845027,138.7704024,138.5686024,152.2436027,157.4944028,145.2934026
8955,JAR-794,-159.978487,-0.377436,132.0946023,124.4212021,120.8023021,126.3389022,131.6975022,144.6230025,130.5765023,127.8782022,143.2824025,144.0460025,136.4575024
8962,JAR-775,-159.989628,-0.381892,90.18670164,82.85700139,84.56120143,85.30890144,101.1582017,99.55660175,100.5480018,95.60290165,108.7114019,125.1384022,95.01110164
8963,JAR-782,-160.012563,-0.373487,92.06740162,104.1742018,100.0874017,98.98520173,90.71040156,85.37470148,81.46240142,92.93010163,103.8383018,99.00370175,81.38310142
8970,JAR-765,-159.995818,-0.381987,79.74840145,74.48570124,75.34460129,75.58600129,91.27460157,88.80830155,88.64390156,89.40860154,98.90630173,117.1952021,81.3266014
8971,JAR-752,-159.998748,-0.381831,78.50670142,73.58990123,74.36330127,74.16990127,89.87870154,86.92320152,87.25950153,87.95940152,97.01600168,114.363302,79.80420137
8972,JAR-800,-160.008729,-0.381009,76.76170138,74.03570124,74.99380128,72.38260125,89.44720153,85.9733015,86.49410152,89.11120154,99.33130171,109.4157019,78.52950135
8973,JAR-805,-160.011614,-0.372703,76.15300135,87.46940152,89.05470149,89.17810154,76.94610132,73.16740126,66.80320113,82.68250145,89.75870154,81.2019014,68.35190122
8979,JAR-734,-159.979708,-0.382476,115.4535021,107.4261018,101.9458018,108.8451018,122.7098021,134.9293024,120.1587021,118.6887021,136.2063024,137.4660024,126.2917022
8980,JAR-762,-159.975657,-0.382435,130.0228023,123.9547021,116.241402,121.6863021,129.2378022,141.9599025,129.0642022,127.8601022,143.1606025,140.8749025,134.4755024
8981,JAR-770,-159.975998,-0.380204,134.6873024,126.6804022,124.1216021,129.7450022,134.7495023,147.1664026,132.8210023,131.6060023,147.1230026,148.1559026,140.1488025
8982,JAR-808,-159.982681,-0.376079,110.183302,103.4129018,95.12030163,102.5556017,117.415502,129.2279023,116.141202,112.171902,127.3240022,131.9143024,119.9266021
8983,JAR-807,-159.983219,-0.367526,115.710502,114.613102,116.669602,115.591302,103.0567018,122.0328021,110.0919019,109.2498019,116.3755021,116.321502,116.753502
8984,JAR-780,-159.983699,-0.365249,106.9036018,106.3606019,111.0269018,111.1261019,95.12400163,115.515902,101.3047018,103.6668018,110.3036019,105.3919018,108.9644019
8985,JAR-788,-159.988807,-0.363532,96.04790165,96.9354017,100.3902016,101.5059017,88.1654015,106.7063019,91.80190157,91.76220165,102.6247018,98.31020167,100.7152018
8986,JAR-736,-160.005707,-0.38202,77.3787014,73.71970123,74.80020127,73.82360127,89.45940154,87.25700152,87.66820154,88.52770153,98.65750171,113.060002,79.75320138
8987,JAR-822,-160.010789,-0.38104,92.67290168,96.81520164,108.0473018,100.4698017,103.2719018,101.8332018,101.7663018,107.5144019,117.006102,131.4312023,93.51860161
8988,JAR-773,-159.976039,-0.371247,141.1288025,143.8460025,142.3626024,142.3773024,139.1819024,152.1826027,141.5030025,142.0157025,152.9327027,158.3900028,144.5751025
8989,JAR-823,-159.996338,-0.362813,91.75330158,91.80640162,97.95440161,99.73090168,82.7387014,97.6286017,78.09550134,83.1080015,91.1478016,86.43210148,92.54380164
8990,JAR-769,-160.008139,-0.369011,57.17000097,65.05120115,69.44080115,69.24590119,46.6016008,50.77040088,41.97230073,55.63140101,61.16700107,45.86160077,48.81690088
8991,JAR-803,-160.012848,-0.374711,92.52100164,104.0748018,100.7891017,99.12570173,90.19540156,85.12010148,81.73430142,92.98260163,104.3786018,98.51400174,80.7726014
1977,ALA-00002,145.8153,17.60753,25.34540043,30.05410049,42.98120072,30.87190056,26.68640047,25.89380047,17.96250028,34.52510058,12.04510019,40.23080068,36.64630062
1881,SAI-00056,145.832176,15.26880783,137.7937024,129.6956023,128.0930023,109.0812019,129.6632023,124.4461022,105.1851019,113.6923019,121.4466021,116.9897021,117.3687021
1986,GUG-00050,145.8508079,17.31502695,121.4700021,132.4149023,130.4224022,105.0963018,134.2686023,123.0385022,106.7074019,118.256002,121.5529022,122.5803022,117.5556021
1885,SAI-00002,145.78762,15.17602,112.660002,114.653802,111.694902,96.09150164,118.2908021,112.5228019,94.26220167,101.0199017,115.944402,106.4993019,105.3914019
1949,MAU-00001,145.2077,20.02328,46.52910084,41.93750068,45.43510078,41.48050076,31.34780056,19.53990033,27.42750045,39.27290067,20.79820037,57.87450084,44.36970079
1970,AGR-00004,145.64882,18.80747,147.8573027,133.7720022,150.2388026,118.044502,139.2350025,127.4078022,106.4646018,122.426702,121.8584021,126.7494021,129.4403022
1975,AGR-00056,145.6370976,18.77903237,147.3047027,133.7522022,150.2611026,118.006002,139.2399025,127.2113022,106.4646018,122.378302,121.8584021,126.7494021,129.5271022
1882,SAI-00057,145.7819239,15.18612119,114.855602,111.4945019,109.4909019,95.09400162,117.5057021,109.7010019,93.49440166,99.20010163,113.999002,103.2719018,103.1667018
1978,ALA-00003,145.81808,17.58693,23.70370041,11.45220018,33.0443005,16.39110031,14.73030026,7.80900015,3.63030005,19.66070032,2.448400043,25.16770044,25.93570045
1886,SAI-00003,145.76963,15.156,7.510000137,0.767700014,4.684600071,1.590000025,1.484000019,2.833600062,0,0.53480001,0,0.716000012,2.624100049
1987,GUG-00051,145.8321662,17.30808003,0,0,0,0,0,0,0,0,0,0,0
