spp,A2_guild,A2_fg,A2_size,A2_schooling
Acanthurus achilles,Herbivore,Grazer,25,4
Acanthurus achillesXnigricans hybrid= rackliffei,Herbivore,Grazer,25,4
Acanthurus albipectoralis,Planktivore,Diurnal planktivore,33,4
Acanthurus blochii,Herbivore,Grazer,43,3
Acanthurus dussumieri,Herbivore,Grazer,56,3
Acanthurus guttatus,Herbivore,Grazer,29,5
Acanthurus leucocheilus,Herbivore,Grazer,45,3
Acanthurus leucopareius,Herbivore,Grazer,25,4
Acanthurus lineatus,Herbivore,Grazer,38,3
Acanthurus maculiceps,Herbivore,Grazer,41,3
Acanthurus mata,Planktivore,Diurnal planktivore,50,5
Acanthurus nigricans,Herbivore,Grazer,23,3
Acanthurus nigricauda,Herbivore,Grazer,40,3
Acanthurus nigrofuscus,Herbivore,Grazer,23,3
Acanthurus nigroris,Herbivore,Grazer,25,3
Acanthurus nubilus,Planktivore,Diurnal planktivore,26,3
Acanthurus olivaceus,Herbivore,Grazer,40,4
Acanthurus pyroferus,Herbivore,Grazer,25,3
Acanthurus thompsoni,Planktivore,Diurnal planktivore,28,4
Acanthurus triostegus,Herbivore,Grazer,27,5
Acanthurus xanthopterus,Herbivore,Grazer,65,4
Acanthurus sp.,Herbivore,Grazer,34.9,3
Ctenochaetus binotatus,Detritivore,Detritivore,22,3
Ctenochaetus cyanocheilus,Detritivore,Detritivore,20,3
Ctenochaetus flavicauda,Detritivore,Detritivore,17,3
Ctenochaetus hawaiiensis,Detritivore,Detritivore,28,3
Ctenochaetus marginatus,Detritivore,Detritivore,29,3
Ctenochaetus striatus,Detritivore,Detritivore,28,4
Ctenochaetus strigosus,Detritivore,Detritivore,24,3
Ctenochaetus sp. ,Detritivore,Detritivore,30,3
Naso annulatus,Planktivore,Diurnal planktivore,100,4
Naso brachycentron,Herbivore,Browser,90,4
Naso brevirostris,Planktivore,Diurnal planktivore,60,5
Naso caesius,Planktivore,Diurnal planktivore,62,4
Naso hexacanthus,Planktivore,Diurnal planktivore,75,5
Naso lituratus,Herbivore,Browser,46,3
Naso maculatus,Herbivore,Browser,60,3
Naso tonganus,Herbivore,Browser,63,4
Naso unicornis,Herbivore,Browser,70,3
Naso vlamingii,Planktivore,Diurnal planktivore,60,3
Paracanthurus hepatus,Herbivore/Planktivore,Browser/,31,4
,,Diurnal planktivore,,
Zebrasoma flavescens,Herbivore,Grazer,20,3
Zebrasoma rostratum,Herbivore,Grazer,21,3
Zebrasoma scopas,Herbivore,Grazer,20,3
Zebrasoma veliferum,Herbivore,Grazer,40,2
Acanthuridae sp.,Herbivore,Grazer,40.4,3
Apogon angustatus,Planktivore,Nocturnal planktivore,9,3
Apogon apogonoides,Planktivore,Nocturnal planktivore,10,3
Apogon kallopterus,Carnivore,Invertivore,12,3
Apogon novemfasciatus,Planktivore,Nocturnal planktivore,9.5,3
Apogon sp.,Planktivore,Nocturnal planktivore,16,3
Cheilodipterus artus,Carnivore,Nocturnal piscivore,18.7,3
Cheilodipterus quinquelineatus,Carnivore,Generalist carnivore,12,3
Apogonidae sp.,Planktivore,Nocturnal planktivore,12.5,3
Aulostomus chinensis,Carnivore,Diurnal piscivore,80,1
Balistapus undulatus,Carnivore,Invertivore,30,1
Balistoides conspicillum,Carnivore,Invertivore,50,1
Balistoides viridescens,Carnivore,Invertivore,75,1
Melichthys niger,Omnivore,Pelagic omnivore,38,4
Melichthys vidua,Omnivore,Benthic omnivore,34,4
Odonus niger,Planktivore,Diurnal planktivore,40,4
Pseudobalistes flavimarginatus,Carnivore,Invertivore,60,1
Rhinecanthus aculeatus,Omnivore,Benthic omnivore,30,1
Rhinecanthus rectangulus,Omnivore,Benthic omnivore,25,1
Sufflamen bursa,Omnivore,Benthic omnivore,28,1
Sufflamen chrysopterum,Carnivore,Invertivore,22,1
Sufflamen fraenatum,Carnivore,Generalist carnivore,38,1
Xanthichthys auromarginatus,Planktivore,Diurnal planktivore,22,4
Xanthichthys caeruleolineatus,Planktivore,Diurnal planktivore,35,4
Xanthichthys mento,Planktivore,Diurnal planktivore,30,4
