,,,,,,,,,,,MacNeil et al. ,,In review paper from Ivor,Ivor most recent,,,,,,,,,
spp,SPECIES,FAMILY,family,COMMONFAMILYALL,TROPHIC_MONREP,A2_guild,TOPHIC_MONREP,size,habitat,Included,fg,EDITED,A2_fg,Ivor_F1,Ivor_F2,A2_size,A2_schooling,Ivor_guild,criteria,,,,
Abudefduf saxatilis,NA,NA,Pomacentridae,NA,NA,NA,NA,22.9,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Abudefduf whitleyi,NA,NA,Pomacentridae,NA,NA,NA,NA,14,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthemblemaria aspera,NA,NA,Chaenopsidae,NA,NA,NA,NA,4,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthemblemaria maria,NA,NA,Chaenopsidae,NA,NA,NA,NA,5.1,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthistius fuscus,NA,NA,Serranidae,NA,NA,NA,NA,40,Reef,1,Piscivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthochromis polyacanthus,NA,NA,Pomacentridae,NA,NA,NA,NA,14,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthostracion polygonius,NA,NA,Ostraciidae,NA,NA,NA,NA,50,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthostracion quadricornis,NA,NA,Ostraciidae,NA,NA,NA,NA,55,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthurus auranticavus,NA,NA,Acanthuridae,NA,NA,NA,NA,45,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthurus bahianus,NA,NA,Acanthuridae,NA,NA,NA,NA,38.1,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthurus bariene,NA,NA,Acanthuridae,NA,NA,NA,NA,50,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthurus chirugus,NA,NA,Acanthuridae,NA,NA,NA,NA,39,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthurus coeruleus,NA,NA,Acanthuridae,NA,NA,NA,NA,39,Out,0,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthurus fowleri,NA,NA,Acanthuridae,NA,NA,NA,NA,45,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthurus grammoptilus,NA,NA,Acanthuridae,NA,NA,NA,NA,35,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthurus leucosternon,NA,NA,Acanthuridae,NA,NA,NA,NA,54,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthurus tennentii,NA,NA,Acanthuridae,NA,NA,NA,NA,31,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Acanthurus tristis,NA,NA,Acanthuridae,NA,NA,NA,NA,25,Reef,1,Grazer,,NA,NA,NA,NA,NA,NA,NA,,,,
Albula glossodonta,NA,NA,Albulidae,NA,NA,NA,NA,90,Sand,0,NA,,NA,NA,NA,NA,NA,NA,NA,,,,
Amblycirrhitus pinos,NA,NA,Cirrhitidae,NA,NA,NA,NA,9.5,Reef,1,Micro-invertivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Amblyeleotris sp,NA,NA,Gobiidae,NA,NA,NA,NA,9,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Amblyglyphidodon aureus,NA,NA,Pomacentridae,NA,NA,NA,Planktivore,13,Reef,1,Planktivore,,NA,PK,PK,NA,NA,Pk,0,,,,
Amblyglyphidodon leucogaster,NA,NA,Pomacentridae,NA,NA,NA,Planktivore,13,Reef,1,Planktivore,,NA,PK,PK,NA,NA,Pk,0,,,,
Amblyglyphidodon leucogaster,NA,NA,Pomacentridae,NA,NA,NA,Planktivore,13,Reef,1,Planktivore,,NA,PK,PK,NA,NA,Pk,0,,,,
Amblygobius esakiae,NA,NA,Gobiidae,NA,NA,NA,NA,8.5,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Amblygobius sp,NA,NA,Gobiidae,NA,NA,NA,NA,10,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Amblygobius sp,NA,NA,Gobiidae,NA,NA,NA,NA,10,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Amblygobius sphynx,NA,NA,Gobiidae,NA,NA,NA,NA,18,Reef,1,Detritivore,,NA,NA,NA,NA,NA,NA,NA,,,,
Amphiprion akindynos,NA,NA,Pomacentridae,NA,NA,NA,NA,9,Reef,1,Planktivore,,NA,NA,NA,NA,NA,NA,NA,,,,
