"","spp","SPECIES","FAMILY","COMMONFAMILYALL","TROPHIC_MONREP","size","family","fg","habitat","Included"
"1","Abudefduf abdominalis","ABAB","Pomacentridae","Damselfish","PLANKTIVORE",30,"Pomacentridae","Planktivore","Reef",1
"2","Abudefduf septemfasciatus","ABSP","Pomacentridae","Damselfish","PRIMARY",23,"Pomacentridae","Planktivore","Reef",1
"3","Abudefduf sexfasciatus","ABSX","Pomacentridae","Damselfish","PLANKTIVORE",19,"Pomacentridae","Planktivore","Reef",1
"4","Abudefduf sordidus","ABSO","Pomacentridae","Damselfish","PRIMARY",24,"Pomacentridae","Planktivore","Reef",1
"5","Abudefduf vaigiensis","ABVA","Pomacentridae","Damselfish","PLANKTIVORE",20,"Pomacentridae","Planktivore","Reef",1
"6","Acanthocybium solandri","ACSO","Scombridae","Mackerel","PISCIVORE",250,"Scombridae","Piscivore","Pelagic",0
"7","Acanthurus achilles","ACAC","Acanthuridae","Surgeonfish","PRIMARY",24,"Acanthuridae","Grazer","Reef",1
"8","Acanthurus achilles","ACAC","Acanthuridae","Surgeonfish","PRIMARY",24,"Acanthuridae","Grazer","Reef",1
"9","Acanthurus albipectoralis","ACAL","Acanthuridae","Surgeonfish","PRIMARY",33,"Acanthuridae","Planktivore","Reef",1
"10","Acanthurus blochii","ACBL","Acanthuridae","Surgeonfish","PRIMARY",45,"Acanthuridae","Grazer","Reef",1
"11","Acanthurus blochii","ACBL","Acanthuridae","Surgeonfish","PRIMARY",45,"Acanthuridae","Grazer","Reef",1
"12","Acanthurus dussumieri","ACDU","Acanthuridae","Surgeonfish","PRIMARY",54,"Acanthuridae","Grazer","Reef",1
"13","Acanthurus guttatus","ACGU","Acanthuridae","Surgeonfish","PRIMARY",26,"Acanthuridae","Grazer","Reef",1
"14","Acanthurus leucocheilus","ACLU","Acanthuridae","Surgeonfish","PRIMARY",45,"Acanthuridae","Grazer","Reef",1
"15","Acanthurus leucopareius","ACLE","Acanthuridae","Surgeonfish","PRIMARY",25,"Acanthuridae","Grazer","Reef",1
"16","Acanthurus lineatus","ACLI","Acanthuridae","Surgeonfish","PRIMARY",38,"Acanthuridae","Grazer","Reef",1
"17","Acanthurus maculiceps","ACMA","Acanthuridae","Surgeonfish","PRIMARY",40,"Acanthuridae","Grazer","Reef",1
"18","Acanthurus mata","ACMT","Acanthuridae","Surgeonfish","PLANKTIVORE",50,"Acanthuridae","Planktivore","Reef",1
"19","Acanthurus nigricans","ACNC","Acanthuridae","Surgeonfish","PRIMARY",21.3,"Acanthuridae","Grazer","Reef",1
"20","Acanthurus nigricauda","ACNI","Acanthuridae","Surgeonfish","PRIMARY",40,"Acanthuridae","Grazer","Reef",1
"21","Acanthurus nigrofuscus","ACNF","Acanthuridae","Surgeonfish","PRIMARY",21,"Acanthuridae","Grazer","Reef",1
