"","OBS_YEAR","METHOD","ISLAND","PLANKTIVORE.Mean","PLANKTIVORE.SE"
"1",2001,"BLT","Baker", 43.5350000, 25.9654552
"2",2002,"BLT","Baker", 13.1966667,  5.6779302
"3",2004,"BLT","Baker", 63.1516667, 15.8166080
"4",2006,"BLT","Baker", 47.4425000, 10.8741572
"5",2008,"BLT","Baker", 35.1200000, 10.3826353
"6",2008,"nSPC","Baker", 39.1925000,  8.0119103
"7",2010,"nSPC","Baker", 25.5423810,  6.0074785
"8",2012,"nSPC","Baker", 31.7020833,  7.7160637
"9",2015,"nSPC","Baker",138.2172222, 71.0615291
"10",2001,"BLT","Howland", 28.3800000,  5.5938210
"11",2002,"BLT","Howland", 30.4600000,  8.2106297
"12",2004,"BLT","Howland", 85.8860000, 17.2565957
"13",2006,"BLT","Howland", 29.6866667,  7.2272049
"14",2008,"BLT","Howland",274.9340000,217.0501713
"15",2008,"nSPC","Howland",253.1670000,192.2747368
"16",2010,"nSPC","Howland", 44.4606250, 13.6696186
"17",2012,"nSPC","Howland",113.9451282, 55.2532721
"18",2015,"nSPC","Howland",275.7820000,143.5063097
"19",2001,"BLT","Jarvis",  5.2800000,  2.9848478
"20",2002,"BLT","Jarvis", 51.5925000,  8.1565376
"21",2004,"BLT","Jarvis",115.5733333, 29.0098882
"22",2006,"BLT","Jarvis",168.1766667,103.2762100
"23",2008,"BLT","Jarvis", 94.2385000, 38.7389498
"24",2008,"nSPC","Jarvis", 54.2363158, 18.9673677
"25",2010,"nSPC","Jarvis", 28.4586667,  5.4285097
"26",2012,"nSPC","Jarvis", 90.4019048, 34.5401258
"27",2015,"nSPC","Jarvis",114.9485484, 46.1433107
"28",2004,"BLT","Johnston",  6.9400000,  3.6835445
"29",2006,"BLT","Johnston",  7.5511111,  2.2704603
"30",2008,"BLT","Johnston",  3.1183333,  1.0352952
"31",2008,"nSPC","Johnston",  4.2450000,  1.6543993
"32",2010,"nSPC","Johnston",  3.1548718,  0.9408010
"33",2012,"nSPC","Johnston",  7.5502857,  2.2698184
"34",2015,"nSPC","Johnston", 49.8470968, 31.6344875
"35",2001,"BLT","Kingman",253.4022222,251.4249668
"36",2002,"BLT","Kingman", 23.8800000, 10.8224705
"37",2004,"BLT","Kingman", 41.8177778, 25.8509481
"38",2006,"BLT","Kingman", 72.0846154, 30.2867245
"39",2008,"BLT","Kingman", 15.3060870,  5.1928731
"40",2008,"nSPC","Kingman", 27.8060870, 11.6578756
"41",2010,"nSPC","Kingman", 48.5009091, 13.6852112
"42",2012,"nSPC","Kingman", 26.7736735,  6.2916990
"43",2015,"nSPC","Kingman", 35.4612245,  8.5757843
"44",2001,"BLT","Palmyra",  1.2300000,  0.2604227
"45",2002,"BLT","Palmyra", 72.9500000, 28.5333651
"46",2004,"BLT","Palmyra", 47.5300000, 16.2408052
"47",2006,"BLT","Palmyra", 16.2738462,  9.1377219
"48",2008,"BLT","Palmyra",  8.2603571,  2.2309835
"49",2008,"nSPC","Palmyra",255.4646429,245.0352778
"50",2010,"nSPC","Palmyra", 26.3020000,  7.1182547
"51",2012,"nSPC","Palmyra",111.2740476, 50.3029508
"52",2015,"nSPC","Palmyra", 11.7025641,  2.1508973
"53",2005,"BLT","Wake", 14.7884615,  8.1263663
"54",2007,"BLT","Wake",  5.1675000,  1.8472482
"55",2009,"BLT","Wake",  6.5792308,  2.0980615
"56",2009,"nSPC","Wake",  5.5675862,  1.1488875
"57",2011,"nSPC","Wake",  7.0590000,  1.6626910
"58",2014,"nSPC","Wake",  4.7297778,  1.2140716
