"","OBS_YEAR","METHOD","ISLAND","PRIMARY.Mean","PRIMARY.SE"
"1",2001,"BLT","Baker", 55.025000, 24.500548
"2",2002,"BLT","Baker", 15.345000,  5.014303
"3",2004,"BLT","Baker", 90.413333, 18.855527
"4",2006,"BLT","Baker", 60.542500, 13.935724
"5",2008,"BLT","Baker", 57.142500, 21.861182
"6",2008,"nSPC","Baker", 50.297500, 19.141572
"7",2010,"nSPC","Baker", 13.643333,  2.132192
"8",2012,"nSPC","Baker", 25.598750,  4.008869
"9",2015,"nSPC","Baker", 23.560000,  4.763187
"10",2001,"BLT","Howland", 13.266667,  3.622583
"11",2002,"BLT","Howland", 19.614000,  3.824246
"12",2004,"BLT","Howland", 47.844000,  3.616509
"13",2006,"BLT","Howland", 34.203333,  6.299390
"14",2008,"BLT","Howland", 37.623000, 10.249273
"15",2008,"nSPC","Howland", 24.841000,  4.151395
"16",2010,"nSPC","Howland", 10.844375,  1.099252
"17",2012,"nSPC","Howland", 20.914103,  2.537878
"18",2015,"nSPC","Howland", 16.288571,  2.035181
"19",2001,"BLT","Jarvis", 20.482500,  6.993273
"20",2002,"BLT","Jarvis", 39.100000,  4.146139
"21",2004,"BLT","Jarvis", 57.830000,  7.274989
"22",2006,"BLT","Jarvis", 49.141111, 10.925444
"23",2008,"BLT","Jarvis", 35.324500,  4.725351
"24",2008,"nSPC","Jarvis", 29.321053,  2.510690
"25",2010,"nSPC","Jarvis", 27.073000,  1.847028
"26",2012,"nSPC","Jarvis", 46.121905,  5.136614
"27",2015,"nSPC","Jarvis", 27.769355,  2.565544
"28",2004,"BLT","Johnston", 59.441667,  6.623093
"29",2006,"BLT","Johnston", 49.420000,  9.160445
"30",2008,"BLT","Johnston", 24.246667,  3.905309
"31",2008,"nSPC","Johnston", 14.490000,  1.604807
"32",2010,"nSPC","Johnston", 16.550513,  2.435511
"33",2012,"nSPC","Johnston", 18.446857,  2.518853
"34",2015,"nSPC","Johnston", 28.406129,  4.210955
"35",2001,"BLT","Kingman", 10.300000,  2.586379
"36",2002,"BLT","Kingman", 14.797778,  3.030724
"37",2004,"BLT","Kingman", 21.475556,  3.909443
"38",2006,"BLT","Kingman", 52.452308, 14.932916
"39",2008,"BLT","Kingman", 16.654783,  2.861864
"40",2008,"nSPC","Kingman", 14.812174,  2.321648
"41",2010,"nSPC","Kingman", 22.589697,  2.820214
"42",2012,"nSPC","Kingman", 40.563673, 14.210771
"43",2015,"nSPC","Kingman", 17.268571,  1.501506
"44",2001,"BLT","Palmyra", 13.738000,  2.502020
"45",2002,"BLT","Palmyra", 27.178000,  4.030648
"46",2004,"BLT","Palmyra", 52.789000,  8.690789
"47",2006,"BLT","Palmyra", 39.943077,  6.851749
"48",2008,"BLT","Palmyra", 29.311429,  6.666618
"49",2008,"nSPC","Palmyra", 24.775357,  2.899193
"50",2010,"nSPC","Palmyra", 95.706250, 44.021189
"51",2012,"nSPC","Palmyra", 34.282143,  4.398574
"52",2015,"nSPC","Palmyra", 17.071667,  1.280405
"53",2005,"BLT","Wake",121.027692, 47.678277
"54",2007,"BLT","Wake", 63.590000, 12.368204
"55",2009,"BLT","Wake", 26.106923,  4.945587
"56",2009,"nSPC","Wake", 18.324138,  2.412828
"57",2011,"nSPC","Wake", 26.001667,  2.369437
"58",2014,"nSPC","Wake", 28.994667,  5.267481
