"","year","island","biomass","SE"
"1",2010,"Baker",94.0285667353627,26.7240321527084
"2",2012,"Baker",95.4767534450638,10.7731487224405
"3",2015,"Baker",201.057976643026,71.9828301011204
"4",2010,"Howland",89.4745536778299,16.2673810491408
"5",2012,"Howland",183.201514051189,55.1049748476576
"6",2015,"Howland",328.911969973423,143.616331023556
"7",2010,"Jarvis",126.550117061724,18.1230022463266
"8",2012,"Jarvis",203.918937601349,37.6938124068165
"9",2015,"Jarvis",185.171559775152,46.4134272241492
"10",2010,"Johnston",45.2279215754456,8.83464088634465
"11",2012,"Johnston",62.7887462953558,17.845141755524
"12",2015,"Johnston",115.94202937864,45.9397573123864
"13",2010,"Kingman",152.122603628275,23.7892438018757
"14",2012,"Kingman",158.392147288507,31.4964449049647
"15",2015,"Kingman",106.428933514408,10.9108054858688
"16",2010,"Palmyra",171.492419771833,53.0788465419875
"17",2012,"Palmyra",225.028230025846,53.3308002296391
"18",2015,"Palmyra",76.2128446114114,7.38653163396016
"19",2009,"Wake",106.554601220303,61.6003041118411
"20",2011,"Wake",56.4393328846882,7.96885539253533
"21",2014,"Wake",48.6901847507698,6.10205487729249
